Graph reconstruction via  vertex betweenness centrality
	Original graph description file-> ../example_graphs/sfba-inipy.txt		Ordre-> 40
	Pseudorandom generator seeds-> 363,363,363
THRESHOLD ACCEPTANCE :
	Initial Temperature-> 0.900000
	Tk final-> 0.000100
	Minimum Temperature-> 0.000100
	Geometric cooling rate: T[k]=0.980000 * T[k-1]
	Number Maxim of Combinations-> 2000
RESULTS:
	Best cost -> 19.68929128339918221968
	Betweenness centrality
	 Desired BC  |  Closest BC  | Difference^2
	45.6522324293 | 44.1703867799 | 2.1958665285
	3.6193580194 | 14.7681971268 | 124.2966134435
	14.8101968258 | 14.1958207201 | 0.3774579993
	95.6802585245 | 94.7733989772 | 0.8223942384
	80.7599408181 | 82.7782478943 | 4.0735634539
	151.9124776000 | 153.6072486747 | 2.8722489955
	38.1071303166 | 43.7806115616 | 32.1883894378
	60.5283449415 | 57.9987124462 | 6.3990405614
	15.7713610460 | 16.2994909996 | 0.2789212479
	26.9295441315 | 26.2106915654 | 0.5167490117
	45.3353975536 | 45.0057786294 | 0.1086486352
	26.9394855072 | 25.1985078963 | 3.0310030418
	18.7386443260 | 20.7881211690 | 4.2003553299
	12.9336643570 | 10.4824673280 | 6.0083668749
	14.2649027747 | 13.5782761421 | 0.4714561326
	41.8627761972 | 39.4122088218 | 6.0052804618
	23.8797765501 | 22.4005245387 | 2.1881865132
	13.8573527199 | 15.7897808417 | 3.7342784459
	14.6417113659 | 15.2574129871 | 0.3790884864
	7.6741391471 | 6.6347252899 | 1.0803811666
	21.0954875292 | 19.4419413346 | 2.7342150177
	7.3071484354 | 9.2814841577 | 3.8980015444
	8.1531554515 | 9.1728600286 | 1.0397974246
	17.5377826988 | 14.7714716089 | 7.6524770459
	16.0668745556 | 13.5853994533 | 6.1577186833
	12.1911370473 | 15.5937874668 | 11.5780298778
	8.8726714451 | 11.5333898127 | 7.0794222314
	11.2864427278 | 13.6127059019 | 5.4115003551
	10.1091975389 | 11.2722071098 | 1.3525912620
	8.0182772777 | 7.8692973217 | 0.0221950273
	14.6978954500 | 14.1265854378 | 0.3263951300
	6.2137733467 | 9.2814841577 | 9.4108496197
	18.2282702253 | 21.2022402698 | 8.8444978253
	10.7750992010 | 13.7400230050 | 8.7907731632
	10.2547250236 | 10.5606824186 | 0.0936099275
	5.8496227769 | 12.1872474920 | 40.1654870295
	7.5810516990 | 12.7075434663 | 26.2809178408
	8.4908655969 | 13.1112657619 | 21.3480976853
	6.0780658615 | 9.0351389979 | 8.7442815342
	7.0879116947 | 11.0260639279 | 15.5090430114
