Graph reconstruction via  vertex betweenness centrality
	Original graph description file-> ../example_graphs/sfba-inipy.txt		Ordre-> 40
	Pseudorandom generator seeds-> 284,284,284
THRESHOLD ACCEPTANCE :
	Initial Temperature-> 0.900000
	Tk final-> 0.000100
	Minimum Temperature-> 0.000100
	Geometric cooling rate: T[k]=0.980000 * T[k-1]
	Number Maxim of Combinations-> 2000
RESULTS:
	Best cost -> 24.17479331470107339896
	Betweenness centrality
	 Desired BC  |  Closest BC  | Difference^2
	45.6522324293 | 42.6065421555 | 9.2762292436
	3.6193580194 | 5.7826586489 | 4.6798696134
	14.8101968258 | 15.3952647275 | 0.3423044495
	95.6802585245 | 89.6141078311 | 36.7981842343
	80.7599408181 | 78.4856394395 | 5.1724467605
	151.9124776000 | 146.0382943192 | 34.5060292170
	38.1071303166 | 34.4403607773 | 13.4451988540
	60.5283449415 | 57.5358288188 | 8.9551527449
	15.7713610460 | 19.4630924612 | 13.6288808421
	26.9295441315 | 30.8717439263 | 15.5409392227
	45.3353975536 | 44.4528654315 | 0.7788629466
	26.9394855072 | 26.6389208863 | 0.0903390914
	18.7386443260 | 20.2553571389 | 2.3004177569
	12.9336643570 | 10.4988318342 | 5.9284094142
	14.2649027747 | 14.0931520291 | 0.0294983186
	41.8627761972 | 36.9299039122 | 24.3332289803
	23.8797765501 | 24.3059959249 | 0.1816629554
	13.8573527199 | 18.1027690665 | 18.0235599560
	14.6417113659 | 14.8998557560 | 0.0666385262
	7.6741391471 | 17.8736823161 | 104.0306808555
	21.0954875292 | 22.0228401466 | 0.8599828769
	7.3071484354 | 9.2916892268 | 3.9384021527
	8.1531554515 | 10.1168899384 | 3.8562531353
	17.5377826988 | 20.9041642837 | 11.3325249750
	16.0668745556 | 16.3701681409 | 0.0919869989
	12.1911370473 | 13.9031298521 | 2.9309193638
	8.8726714451 | 10.8167548165 | 3.7794601549
	11.2864427278 | 12.8591242908 | 2.4733272987
	10.1091975389 | 10.1930835949 | 0.0070368704
	8.0182772777 | 15.0008421182 | 48.7562117512
	14.6978954500 | 13.9887798539 | 0.5028449285
	6.2137733467 | 13.2253450425 | 49.1621376457
	18.2282702253 | 20.6216075262 | 5.7280634357
	10.7750992010 | 15.7115934363 | 24.3689753346
	10.2547250236 | 11.0759957039 | 0.6744855302
	5.8496227769 | 9.7398019950 | 15.1334943488
	7.5810516990 | 6.8505832712 | 0.5335841240
	8.4908655969 | 17.7103197573 | 84.9983350155
	6.0780658615 | 11.2599744973 | 26.8521771104
	7.0879116947 | 7.6640147880 | 0.3318947741
