Graph reconstruction via  vertex betweenness centrality
	Original graph description file-> ../example_graphs/sfba-inipy.txt		Ordre-> 40
	Pseudorandom generator seeds-> 295,295,295
THRESHOLD ACCEPTANCE :
	Initial Temperature-> 0.900000
	Tk final-> 0.000100
	Minimum Temperature-> 0.000100
	Geometric cooling rate: T[k]=0.980000 * T[k-1]
	Number Maxim of Combinations-> 2000
RESULTS:
	Best cost -> 16.74363363591076492298
	Betweenness centrality
	 Desired BC  |  Closest BC  | Difference^2
	45.6522324293 | 46.7863888820 | 1.2863108594
	3.6193580194 | 7.7335275803 | 16.9263911754
	14.8101968258 | 16.9422591553 | 4.5456897766
	95.6802585245 | 95.1599053979 | 0.2707673763
	80.7599408181 | 80.0841458621 | 0.4566988225
	151.9124776000 | 149.9643825863 | 3.7950741824
	38.1071303166 | 37.2436285517 | 0.7456352980
	60.5283449415 | 58.0467764998 | 6.1581819312
	15.7713610460 | 21.5142833604 | 32.9811567091
	26.9295441315 | 28.1449211813 | 1.4771413732
	45.3353975536 | 48.0903587784 | 7.5898113497
	26.9394855072 | 24.2808810744 | 7.0681775304
	18.7386443260 | 20.5243879206 | 3.1888801857
	12.9336643570 | 15.3378397235 | 5.7800591929
	14.2649027747 | 13.6869469186 | 0.3340329716
	41.8627761972 | 40.6209463134 | 1.5421414604
	23.8797765501 | 24.0194888558 | 0.0195195284
	13.8573527199 | 14.5741530407 | 0.5138027000
	14.6417113659 | 13.5282958777 | 1.2396940493
	7.6741391471 | 7.7770162403 | 0.0105836963
	21.0954875292 | 22.3638193345 | 1.6086655682
	7.3071484354 | 12.2027369772 | 23.9667871705
	8.1531554515 | 9.1929254242 | 1.0811215962
	17.5377826988 | 15.3997427821 | 4.5712146855
	16.0668745556 | 16.3595055663 | 0.0856329085
	12.1911370473 | 10.4268569536 | 3.1126842489
	8.8726714451 | 6.8451975602 | 4.1106503539
	11.2864427278 | 14.0210127051 | 7.4778729609
	10.1091975389 | 11.4830776208 | 1.8875464796
	8.0182772777 | 7.5973268149 | 0.1771992922
	14.6978954500 | 15.4240109204 | 0.5272436763
	6.2137733467 | 8.7133210800 | 6.2477388709
	18.2282702253 | 20.5699882165 | 5.4836431501
	10.7750992010 | 11.3299881012 | 0.3079016915
	10.2547250236 | 11.8420103139 | 2.5194745927
	5.8496227769 | 9.4300716675 | 12.8196142581
	7.5810516990 | 11.1788437958 | 12.9441079718
	8.4908655969 | 9.9233103715 | 2.0518980322
	6.0780658615 | 15.6754275467 | 92.1093513177
	7.0879116947 | 8.2408073270 | 1.3291683389
