Graph reconstruction via  vertex betweenness centrality
	Original graph description file-> ../example_graphs/sfba-inipy.txt		Ordre-> 40
	Pseudorandom generator seeds-> 86,86,86
THRESHOLD ACCEPTANCE :
	Initial Temperature-> 0.900000
	Tk final-> 0.000100
	Minimum Temperature-> 0.000100
	Geometric cooling rate: T[k]=0.980000 * T[k-1]
	Number Maxim of Combinations-> 2000
RESULTS:
	Best cost -> 21.57881420822530671444
	Betweenness centrality
	 Desired BC  |  Closest BC  | Difference^2
	45.6522324293 | 42.4284657307 | 10.3926717266
	3.6193580194 | 10.4263146575 | 46.3346586724
	14.8101968258 | 14.4446238485 | 0.1336436017
	95.6802585245 | 91.2554442529 | 19.5789813376
	80.7599408181 | 81.3254111341 | 0.3197566783
	151.9124776000 | 148.4504576378 | 11.9855822188
	38.1071303166 | 36.7445625001 | 1.8565910546
	60.5283449415 | 61.2344421517 | 0.4985732702
	15.7713610460 | 17.5775285922 | 3.2622412051
	26.9295441315 | 26.1872408420 | 0.5510141735
	45.3353975536 | 45.1928446504 | 0.0203213302
	26.9394855072 | 24.9950894885 | 3.7806758777
	18.7386443260 | 21.6479005756 | 8.4637719257
	12.9336643570 | 17.4919615251 | 20.7780730721
	14.2649027747 | 17.4065403254 | 9.8698865000
	41.8627761972 | 44.3302385118 | 6.0883702736
	23.8797765501 | 21.5850948275 | 5.2655642079
	13.8573527199 | 14.7958921698 | 0.8808562991
	14.6417113659 | 13.0790812619 | 2.4418128417
	7.6741391471 | 11.1918993832 | 12.3746370790
	21.0954875292 | 21.3277375469 | 0.0539400707
	7.3071484354 | 12.9044905340 | 31.3302385689
	8.1531554515 | 8.9135012036 | 0.5781256627
	17.5377826988 | 15.7701747817 | 3.1244377486
	16.0668745556 | 17.3115473299 | 1.5492103151
	12.1911370473 | 12.9348497812 | 0.5531086306
	8.8726714451 | 7.7111679991 | 1.3490902550
	11.2864427278 | 11.7768252490 | 0.2404750170
	10.1091975389 | 14.8080678963 | 22.0793826355
	8.0182772777 | 14.2244500671 | 38.5165806918
	14.6978954500 | 11.8634271605 | 8.0342104838
	6.2137733467 | 8.4534251961 | 5.0160404062
	18.2282702253 | 26.2387091139 | 64.1671311879
	10.7750992010 | 15.4648093727 | 21.9933814941
	10.2547250236 | 12.2081627788 | 3.8159190631
	5.8496227769 | 10.1418234721 | 18.4229868083
	7.5810516990 | 11.0158163529 | 11.7976082280
	8.4908655969 | 11.2121758652 | 7.4055295764
	6.0780658615 | 10.1418234721 | 16.5141259182
	7.0879116947 | 13.7381760899 | 44.2260165250
