Graph reconstruction via  vertex betweenness centrality
	Original graph description file-> ../example_graphs/sfba-inipy.txt		Ordre-> 40
	Pseudorandom generator seeds-> 362,362,362
THRESHOLD ACCEPTANCE :
	Initial Temperature-> 0.900000
	Tk final-> 0.000100
	Minimum Temperature-> 0.000100
	Geometric cooling rate: T[k]=0.980000 * T[k-1]
	Number Maxim of Combinations-> 2000
RESULTS:
	Best cost -> 16.48201816287982524045
	Betweenness centrality
	 Desired BC  |  Closest BC  | Difference^2
	45.6522324293 | 40.3716401762 | 27.8846545426
	3.6193580194 | 7.2258558613 | 13.0068266834
	14.8101968258 | 14.0956018965 | 0.5106459131
	95.6802585245 | 92.1150978729 | 12.7103704717
	80.7599408181 | 80.5549551016 | 0.0420191440
	151.9124776000 | 150.6568898952 | 1.5765004844
	38.1071303166 | 37.2076575007 | 0.8090513466
	60.5283449415 | 57.7844969254 | 7.5287019356
	15.7713610460 | 17.1212695841 | 1.8222530613
	26.9295441315 | 26.9547294453 | 0.0006343000
	45.3353975536 | 43.3408702327 | 3.9781392339
	26.9394855072 | 26.7616141805 | 0.0316382089
	18.7386443260 | 19.6714371960 | 0.8701025383
	12.9336643570 | 18.0166387121 | 25.8366282943
	14.2649027747 | 13.8295204643 | 0.1895577562
	41.8627761972 | 45.3324873509 | 12.0388954901
	23.8797765501 | 25.2619971522 | 1.9105337928
	13.8573527199 | 14.4892994228 | 0.3993566353
	14.6417113659 | 17.9310926020 | 10.8200289168
	7.6741391471 | 9.6888135853 | 4.0589130921
	21.0954875292 | 22.1623337071 | 1.1381607673
	7.3071484354 | 7.2945620089 | 0.0001584181
	8.1531554515 | 8.1046742399 | 0.0023504279
	17.5377826988 | 16.9477203782 | 0.3481735422
	16.0668745556 | 17.2162917847 | 1.3211599666
	12.1911370473 | 9.9331964533 | 5.0982957258
	8.8726714451 | 11.6311077839 | 7.6089710353
	11.2864427278 | 18.1475308674 | 47.0745304595
	10.1091975389 | 13.1801250676 | 9.4305958865
	8.0182772777 | 7.9405179924 | 0.0060465065
	14.6978954500 | 13.9137215921 | 0.6149286393
	6.2137733467 | 7.8858880571 | 2.7959676045
	18.2282702253 | 16.4176151382 | 3.2784718447
	10.7750992010 | 9.6431069232 | 1.2814065171
	10.2547250236 | 15.1326417349 | 23.7940714418
	5.8496227769 | 12.0905747023 | 38.9494809352
	7.5810516990 | 8.5753134679 | 0.9885564652
	8.4908655969 | 8.9084012996 | 0.1743360631
	6.0780658615 | 7.3448648159 | 1.6047795910
	7.0879116947 | 6.7400194088 | 0.1210290426
