Graph reconstruction via  vertex betweenness centrality
	Original graph description file-> ../example_graphs/sfba-inipy.txt		Ordre-> 40
	Pseudorandom generator seeds-> 45,45,45
THRESHOLD ACCEPTANCE :
	Initial Temperature-> 0.900000
	Tk final-> 0.000100
	Minimum Temperature-> 0.000100
	Geometric cooling rate: T[k]=0.980000 * T[k-1]
	Number Maxim of Combinations-> 2000
RESULTS:
	Best cost -> 22.17054431768557165583
	Betweenness centrality
	 Desired BC  |  Closest BC  | Difference^2
	45.6522324293 | 42.8050350971 | 8.1065326482
	3.6193580194 | 9.1414486685 | 30.4934851372
	14.8101968258 | 17.3254931513 | 6.3267156051
	95.6802585245 | 92.9494556628 | 7.4572842694
	80.7599408181 | 78.7956677573 | 3.8583686574
	151.9124776000 | 147.8432619174 | 16.5585162714
	38.1071303166 | 36.9589136688 | 1.3184014701
	60.5283449415 | 59.9680125436 | 0.3139723962
	15.7713610460 | 14.3443438242 | 2.0363781513
	26.9295441315 | 25.2329148794 | 2.8785508191
	45.3353975536 | 44.4400206393 | 0.8016998187
	26.9394855072 | 28.0605745630 | 1.2568406709
	18.7386443260 | 14.0766413451 | 21.7342717942
	12.9336643570 | 19.2124785645 | 39.4235078523
	14.2649027747 | 16.6727533748 | 5.7977445124
	41.8627761972 | 39.7779355805 | 4.3465603974
	23.8797765501 | 30.3036943209 | 41.2667195255
	13.8573527199 | 19.9950115173 | 37.6708555130
	14.6417113659 | 17.9000478191 | 10.6167564424
	7.6741391471 | 9.2817037903 | 2.5842640820
	21.0954875292 | 18.0711566016 | 9.1465775599
	7.3071484354 | 15.0789625349 | 60.4010943976
	8.1531554515 | 11.3546378480 | 10.2494895355
	17.5377826988 | 17.6090510750 | 0.0050791814
	16.0668745556 | 18.0796756702 | 4.0513683272
	12.1911370473 | 8.3637880385 | 14.6486004351
	8.8726714451 | 9.3513267405 | 0.2291108918
	11.2864427278 | 14.1063844196 | 7.9520711448
	10.1091975389 | 11.2742498321 | 1.3573468459
	8.0182772777 | 13.5622627300 | 30.7357746948
	14.6978954500 | 14.3368090529 | 0.1303833861
	6.2137733467 | 6.8814558843 | 0.4457999709
	18.2282702253 | 13.7151837860 | 20.3679492090
	10.7750992010 | 9.1313986110 | 2.7017516298
	10.2547250236 | 11.1431788651 | 0.7893502285
	5.8496227769 | 9.8176519063 | 15.7452551716
	7.5810516990 | 9.3048511137 | 2.9714844223
	8.4908655969 | 8.7997254604 | 0.0953944153
	6.0780658615 | 10.4613035656 | 19.2127727707
	7.0879116947 | 13.8294957141 | 45.4489550899
