Graph reconstruction via  vertex betweenness centrality
	Original graph description file-> ../example_graphs/sfba-inipy.txt		Ordre-> 40
	Pseudorandom generator seeds-> 338,338,338
THRESHOLD ACCEPTANCE :
	Initial Temperature-> 0.900000
	Tk final-> 0.000100
	Minimum Temperature-> 0.000100
	Geometric cooling rate: T[k]=0.980000 * T[k-1]
	Number Maxim of Combinations-> 2000
RESULTS:
	Best cost -> 24.71212442924164776059
	Betweenness centrality
	 Desired BC  |  Closest BC  | Difference^2
	45.6522324293 | 41.8384151794 | 14.5452020152
	3.6193580194 | 4.7959028963 | 1.3842578473
	14.8101968258 | 26.1820274400 | 129.3185315172
	95.6802585245 | 92.9941519240 | 7.2151686691
	80.7599408181 | 81.3172079670 | 0.3105466753
	151.9124776000 | 146.9500178345 | 24.6260069242
	38.1071303166 | 35.4928301554 | 6.8345653325
	60.5283449415 | 58.2340958312 | 5.2635789804
	15.7713610460 | 17.2725277122 | 2.2535013597
	26.9295441315 | 26.4547659861 | 0.2254142873
	45.3353975536 | 45.4643652595 | 0.0166326691
	26.9394855072 | 29.7286062245 | 7.7791943756
	18.7386443260 | 22.5171329956 | 14.2769766260
	12.9336643570 | 13.7466997007 | 0.6610264700
	14.2649027747 | 13.8881237995 | 0.1419623962
	41.8627761972 | 42.6488918623 | 0.6179778389
	23.8797765501 | 21.5234023129 | 5.5524995456
	13.8573527199 | 16.0388899114 | 4.7591045180
	14.6417113659 | 17.2927804029 | 7.0281670389
	7.6741391471 | 7.2765904112 | 0.1580449974
	21.0954875292 | 21.4050126943 | 0.0958058278
	7.3071484354 | 9.1798833583 | 3.5071360915
	8.1531554515 | 7.0437717052 | 1.2307322965
	17.5377826988 | 18.5140228121 | 0.9530447589
	16.0668745556 | 19.5347079420 | 12.0258683961
	12.1911370473 | 12.3041551945 | 0.0127731016
	8.8726714451 | 7.6776998661 | 1.4279570745
	11.2864427278 | 14.3042693806 | 9.1072777064
	10.1091975389 | 11.2109562688 | 1.2138722989
	8.0182772777 | 9.9343732057 | 3.6714236054
	14.6978954500 | 14.2866576876 | 0.1691164972
	6.2137733467 | 8.7523003743 | 6.4441194696
	18.2282702253 | 17.1397242217 | 1.1849324020
	10.7750992010 | 10.1046520899 | 0.4494993289
	10.2547250236 | 19.0869148347 | 78.0075768588
	5.8496227769 | 5.8021251784 | 0.0022560219
	7.5810516990 | 9.8178179166 | 5.0031231125
	8.4908655969 | 12.5278468726 | 16.2972178202
	6.0780658615 | 21.4560991314 | 236.4839072501
	7.0879116947 | 7.7460103225 | 0.4330938039
