Graph reconstruction via  vertex betweenness centrality
	Original graph description file-> ../example_graphs/sfba-inipy.txt		Ordre-> 40
	Pseudorandom generator seeds-> 3,3,3
THRESHOLD ACCEPTANCE :
	Initial Temperature-> 0.900000
	Tk final-> 0.000100
	Minimum Temperature-> 0.000100
	Geometric cooling rate: T[k]=0.980000 * T[k-1]
	Number Maxim of Combinations-> 2000
RESULTS:
	Best cost -> 26.27953753894748345488
	Betweenness centrality
	 Desired BC  |  Closest BC  | Difference^2
	45.6522324293 | 45.2565151768 | 0.1565921439
	3.6193580194 | 8.6834068247 | 25.6445903027
	14.8101968258 | 13.6462353237 | 1.3548063784
	95.6802585245 | 93.4339756117 | 5.0457869244
	80.7599408181 | 76.1551563979 | 21.2040395563
	151.9124776000 | 149.7149743167 | 4.8290206801
	38.1071303166 | 36.3521907326 | 3.0798129433
	60.5283449415 | 60.6155670444 | 0.0076076952
	15.7713610460 | 15.5714339155 | 0.0399708575
	26.9295441315 | 24.2770782249 | 7.0355753853
	45.3353975536 | 44.9845539131 | 0.1230912601
	26.9394855072 | 29.1718137585 | 4.9832894213
	18.7386443260 | 18.4660711639 | 0.0742961287
	12.9336643570 | 10.5631556655 | 5.6193114567
	14.2649027747 | 13.4985131573 | 0.5873530456
	41.8627761972 | 39.2580663288 | 6.7845134985
	23.8797765501 | 25.4217796775 | 2.3777736448
	13.8573527199 | 15.0618841907 | 1.4508960641
	14.6417113659 | 14.4859054411 | 0.0242754862
	7.6741391471 | 10.2558520297 | 6.6652414081
	21.0954875292 | 19.4575001585 | 2.6830026266
	7.3071484354 | 8.2722636582 | 0.9314473933
	8.1531554515 | 13.1708796791 | 25.1775564247
	17.5377826988 | 15.5966603890 | 3.7679558217
	16.0668745556 | 14.6483638356 | 2.0121726627
	12.1911370473 | 12.6775241527 | 0.2365724163
	8.8726714451 | 15.1451254295 | 39.3436789863
	11.2864427278 | 28.8016693752 | 306.7831645074
	10.1091975389 | 9.5940208541 | 0.2654070165
	8.0182772777 | 9.8842354920 | 3.4818000575
	14.6978954500 | 16.0099711118 | 1.7215425425
	6.2137733467 | 9.8842354920 | 13.4722923599
	18.2282702253 | 21.2330004079 | 9.0284034699
	10.7750992010 | 13.7445832621 | 8.8178355888
	10.2547250236 | 13.1894493553 | 8.6126069028
	5.8496227769 | 8.2934675716 | 5.9723773809
	7.5810516990 | 8.0884998150 | 0.2575035905
	8.4908655969 | 12.0969718329 | 13.0040021852
	6.0780658615 | 8.1811855211 | 4.4231123027
	7.0879116947 | 19.0684715624 | 143.5338147436
