Graph reconstruction via  vertex betweenness centrality
	Original graph description file-> ../example_graphs/sfba-inipy.txt		Ordre-> 40
	Pseudorandom generator seeds-> 77,77,77
THRESHOLD ACCEPTANCE :
	Initial Temperature-> 0.900000
	Tk final-> 0.000100
	Minimum Temperature-> 0.000100
	Geometric cooling rate: T[k]=0.980000 * T[k-1]
	Number Maxim of Combinations-> 2000
RESULTS:
	Best cost -> 13.58441720402033325854
	Betweenness centrality
	 Desired BC  |  Closest BC  | Difference^2
	45.6522324293 | 44.1934710061 | 2.1279848896
	3.6193580194 | 8.0971329429 | 20.0504682656
	14.8101968258 | 13.8901751461 | 0.8464398913
	95.6802585245 | 94.0952988914 | 2.5120970386
	80.7599408181 | 78.9690719758 | 3.2072112101
	151.9124776000 | 149.7427967556 | 4.7075149666
	38.1071303166 | 36.2893792516 | 3.3042189342
	60.5283449415 | 59.0234935336 | 2.2645777600
	15.7713610460 | 16.6525684966 | 0.7765265710
	26.9295441315 | 27.1377351215 | 0.0433434883
	45.3353975536 | 45.9809535534 | 0.4167425488
	26.9394855072 | 23.9852149913 | 8.7277142816
	18.7386443260 | 16.8042538653 | 3.7418664546
	12.9336643570 | 15.3008569707 | 5.6036008700
	14.2649027747 | 13.3665835125 | 0.8069774969
	41.8627761972 | 42.7965702500 | 0.8719713330
	23.8797765501 | 26.2750523378 | 5.7373460990
	13.8573527199 | 13.5846335858 | 0.0743757261
	14.6417113659 | 15.0591277432 | 0.1742364321
	7.6741391471 | 7.3318484339 | 0.1171629323
	21.0954875292 | 23.4691956580 | 5.6344902807
	7.3071484354 | 11.1175944191 | 14.5194985947
	8.1531554515 | 8.0971329429 | 0.0031385215
	17.5377826988 | 16.3669055255 | 1.3709533549
	16.0668745556 | 19.8007835325 | 13.9420762484
	12.1911370473 | 16.2238458710 | 16.2627404571
	8.8726714451 | 12.0549791411 | 10.1270822718
	11.2864427278 | 10.1450362444 | 1.3028087604
	10.1091975389 | 11.6095480889 | 2.2510517729
	8.0182772777 | 9.6525177582 | 2.6707419480
	14.6978954500 | 18.1440920346 | 11.8762708998
	6.2137733467 | 7.4023100688 | 1.4126195398
	18.2282702253 | 18.0442169685 | 0.0338756014
	10.7750992010 | 8.0971329429 | 7.1715032797
	10.2547250236 | 12.7100893439 | 6.0288139452
	5.8496227769 | 5.1843995412 | 0.4425219533
	7.5810516990 | 9.1386160105 | 2.4260065845
	8.4908655969 | 10.3629696323 | 3.5047735194
	6.0780658615 | 9.1168811669 | 9.2343984605
	7.0879116947 | 9.9529854441 | 8.2086475894
