Graph reconstruction via  vertex betweenness centrality
	Original graph description file-> ../example_graphs/sfba-inipy.txt		Ordre-> 40
	Pseudorandom generator seeds-> 328,328,328
THRESHOLD ACCEPTANCE :
	Initial Temperature-> 0.900000
	Tk final-> 0.000100
	Minimum Temperature-> 0.000100
	Geometric cooling rate: T[k]=0.980000 * T[k-1]
	Number Maxim of Combinations-> 2000
RESULTS:
	Best cost -> 32.19396870075686223345
	Betweenness centrality
	 Desired BC  |  Closest BC  | Difference^2
	45.6522324293 | 41.7545172470 | 15.1921836421
	3.6193580194 | 6.6859009377 | 9.4036854695
	14.8101968258 | 16.6955986206 | 3.5547399277
	95.6802585245 | 91.6724833361 | 16.0622619605
	80.7599408181 | 78.6661053567 | 4.3841469395
	151.9124776000 | 147.6261096759 | 18.3729499805
	38.1071303166 | 35.5480114843 | 6.5490891979
	60.5283449415 | 58.3799316755 | 4.6156795619
	15.7713610460 | 16.1051260971 | 0.1113991093
	26.9295441315 | 30.6816213823 | 14.0780836965
	45.3353975536 | 45.9880982159 | 0.4260181545
	26.9394855072 | 24.9021146794 | 4.1508798901
	18.7386443260 | 28.9772003840 | 104.8280301529
	12.9336643570 | 12.3261379674 | 0.3690883141
	14.2649027747 | 13.6447733610 | 0.3845604898
	41.8627761972 | 37.9146994238 | 15.5873102092
	23.8797765501 | 26.7012473319 | 7.9606973724
	13.8573527199 | 14.3459619488 | 0.2387389785
	14.6417113659 | 17.2759520618 | 6.9392240442
	7.6741391471 | 16.5522750632 | 78.8212973447
	21.0954875292 | 18.4134360096 | 7.1934003540
	7.3071484354 | 15.3020556295 | 63.9185410418
	8.1531554515 | 25.0853125579 | 286.6979442784
	17.5377826988 | 16.7491065992 | 0.6220099900
	16.0668745556 | 25.7428699200 | 93.6248862930
	12.1911370473 | 11.7232264899 | 0.2189402897
	8.8726714451 | 7.3539665844 | 2.3064644539
	11.2864427278 | 11.3603956520 | 0.0054690350
	10.1091975389 | 14.1257697654 | 16.1328524510
	8.0182772777 | 11.2570663076 | 10.4897543801
	14.6978954500 | 21.2828178677 | 43.3612032477
	6.2137733467 | 10.4026700179 | 17.5468553216
	18.2282702253 | 17.8965626471 | 0.1100299175
	10.7750992010 | 17.1968358475 | 41.2387015568
	10.2547250236 | 12.9755375675 | 7.4028208986
	5.8496227769 | 10.3489450488 | 20.2439009063
	7.5810516990 | 8.0099585855 | 0.1839611173
	8.4908655969 | 10.5955814613 | 4.4298288700
	6.0780658615 | 16.3252270902 | 105.0043132485
	7.0879116947 | 9.0087653119 | 3.6896786185
