Graph reconstruction via  vertex betweenness centrality
	Original graph description file-> ../example_graphs/sfba-inipy.txt		Ordre-> 40
	Pseudorandom generator seeds-> 130,130,130
THRESHOLD ACCEPTANCE :
	Initial Temperature-> 0.900000
	Tk final-> 0.000100
	Minimum Temperature-> 0.000100
	Geometric cooling rate: T[k]=0.980000 * T[k-1]
	Number Maxim of Combinations-> 2000
RESULTS:
	Best cost -> 28.29223970489334760714
	Betweenness centrality
	 Desired BC  |  Closest BC  | Difference^2
	45.6522324293 | 47.9700612857 | 5.3723306079
	3.6193580194 | 12.0392521892 | 70.8946178305
	14.8101968258 | 17.1568302399 | 5.5066883802
	95.6802585245 | 90.4303506067 | 27.5615331456
	80.7599408181 | 77.0563003488 | 13.7169527258
	151.9124776000 | 148.2485765819 | 13.4241706707
	38.1071303166 | 33.2799277442 | 23.3018846751
	60.5283449415 | 59.2643187223 | 1.5977622830
	15.7713610460 | 13.1406014268 | 6.9208961739
	26.9295441315 | 31.2804482371 | 18.9303665361
	45.3353975536 | 43.5187526386 | 3.3001987473
	26.9394855072 | 27.8809623323 | 0.8863786121
	18.7386443260 | 25.7270844190 | 48.8382949341
	12.9336643570 | 20.1157149655 | 51.5818509427
	14.2649027747 | 16.5422142883 | 5.1861477299
	41.8627761972 | 40.1570856965 | 2.9093800844
	23.8797765501 | 24.8023707852 | 0.8511801226
	13.8573527199 | 13.9827347714 | 0.0157206588
	14.6417113659 | 10.9731334051 | 13.4584642541
	7.6741391471 | 19.4000516542 | 137.4970241253
	21.0954875292 | 27.9050207512 | 46.3697427009
	7.3071484354 | 6.2654460428 | 1.0851438747
	8.1531554515 | 7.5296652311 | 0.3887400549
	17.5377826988 | 19.9192808332 | 5.6715333644
	16.0668745556 | 24.9174655210 | 78.3329604379
	12.1911370473 | 20.2673702133 | 65.2255421517
	8.8726714451 | 10.4348232657 | 2.4403183104
	11.2864427278 | 12.4441861027 | 1.3403697220
	10.1091975389 | 14.0761911916 | 15.7370386406
	8.0182772777 | 11.6279892615 | 13.0300206062
	14.6978954500 | 22.8688894386 | 66.7651427623
	6.2137733467 | 9.8275522327 | 13.0593978370
	18.2282702253 | 17.6896929095 | 0.2900655251
	10.7750992010 | 10.2822108114 | 0.2429389646
	10.2547250236 | 12.3372721981 | 4.3370027337
	5.8496227769 | 9.1492934332 | 10.8878264404
	7.5810516990 | 10.6394065482 | 9.3535343837
	8.4908655969 | 6.5010122672 | 3.9595162738
	6.0780658615 | 7.4555398865 | 1.8974346896
	7.0879116947 | 9.9662297461 | 8.2847148049
