Graph reconstruction via  vertex betweenness centrality
	Original graph description file-> ../example_graphs/sfba-inipy.txt		Ordre-> 40
	Pseudorandom generator seeds-> 393,393,393
THRESHOLD ACCEPTANCE :
	Initial Temperature-> 0.900000
	Tk final-> 0.000100
	Minimum Temperature-> 0.000100
	Geometric cooling rate: T[k]=0.980000 * T[k-1]
	Number Maxim of Combinations-> 2000
RESULTS:
	Best cost -> 20.65436490047509465739
	Betweenness centrality
	 Desired BC  |  Closest BC  | Difference^2
	45.6522324293 | 46.9579456294 | 1.7048869610
	3.6193580194 | 5.2024135408 | 2.5060647838
	14.8101968258 | 14.6482839459 | 0.0262157807
	95.6802585245 | 96.6179394167 | 0.8792454556
	80.7599408181 | 77.7626155066 | 8.9839590228
	151.9124776000 | 151.1714217492 | 0.5491637741
	38.1071303166 | 37.3628033911 | 0.5540225719
	60.5283449415 | 58.8198894470 | 2.9188201770
	15.7713610460 | 15.0455223094 | 0.5268418715
	26.9295441315 | 27.0395912590 | 0.0121103703
	45.3353975536 | 44.1508991114 | 1.4030365596
	26.9394855072 | 26.5914570949 | 0.1211237758
	18.7386443260 | 20.5335928111 | 3.2218400643
	12.9336643570 | 12.2747967601 | 0.4341065103
	14.2649027747 | 11.0977970162 | 10.0305588852
	41.8627761972 | 48.6294857613 | 45.7883583243
	23.8797765501 | 24.2244081433 | 0.1187709350
	13.8573527199 | 12.7522323604 | 1.2212910089
	14.6417113659 | 18.3958119700 | 14.0932713456
	7.6741391471 | 12.1555281195 | 20.0828471219
	21.0954875292 | 19.8058586561 | 1.6631426303
	7.3071484354 | 10.3549315685 | 9.2889820264
	8.1531554515 | 9.4625944793 | 1.7146305677
	17.5377826988 | 15.1749300274 | 5.5830727466
	16.0668745556 | 18.8961386660 | 8.0047354067
	12.1911370473 | 12.0147501657 | 0.0311123320
	8.8726714451 | 9.9042670709 | 1.0641895351
	11.2864427278 | 9.9499966209 | 1.7860881967
	10.1091975389 | 10.4629438238 | 0.1251364341
	8.0182772777 | 9.5530805521 | 2.3556210910
	14.6978954500 | 14.6603921282 | 0.0014064991
	6.2137733467 | 19.8314865696 | 185.4421134219
	18.2282702253 | 21.7992043011 | 12.7515701731
	10.7750992010 | 12.3578637479 | 2.5051436106
	10.2547250236 | 14.4686151390 | 17.7568699043
	5.8496227769 | 6.1064752595 | 0.0659731978
	7.5810516990 | 7.9667647594 | 0.1487745650
	8.4908655969 | 9.6012185653 | 1.2328837145
	6.0780658615 | 7.9512897158 | 3.5089676084
	7.0879116947 | 14.5976280996 | 56.3958404809
