Graph reconstruction via  vertex betweenness centrality
	Original graph description file-> ../example_graphs/circ-inipy.txt		Ordre-> 40
	Pseudorandom generator seeds-> 387,387,387
THRESHOLD ACCEPTANCE :
	Initial Temperature-> 0.900000
	Tk final-> 0.000100
	Minimum Temperature-> 0.000100
	Geometric cooling rate: T[k]=0.980000 * T[k-1]
	Number Maxim of Combinations-> 2000
RESULTS:
	Best cost -> 4.53396039340406087348
	Betweenness centrality
	 Desired BC  |  Closest BC  | Difference^2
	7.4588251313 | 8.5155936151 | 1.1167596283
	7.4588251313 | 8.1937401644 | 0.5401001059
	7.4588251313 | 7.8010002999 | 0.1170838460
	7.4588251313 | 8.3172936971 | 0.7369682784
	7.4588251313 | 7.3915137375 | 0.0045308237
	7.4588251313 | 8.0660570322 | 0.3687305815
	7.4588251313 | 7.5458183327 | 0.0075678171
	7.4588251313 | 7.8649723937 | 0.1649555987
	7.4588251313 | 7.3763311138 | 0.0068052629
	7.4588251313 | 8.4518837373 | 0.9861653949
	7.4588251313 | 8.2875379142 | 0.6867648765
	7.4588251313 | 8.4985458147 | 1.0810190996
	7.4588251313 | 8.1585169608 | 0.4895686563
	7.4588251313 | 8.1744492144 | 0.5121178283
	7.4588251313 | 7.8237739128 | 0.1331876131
	7.4588251313 | 7.5656771518 | 0.0114173543
	7.4588251313 | 7.8055934187 | 0.1202482452
	7.4588251313 | 7.7060595548 | 0.0611248602
	7.4588251313 | 8.2322705033 | 0.5982177435
	7.4588251313 | 7.7909496084 | 0.1103066683
	7.4588251313 | 6.3156568990 | 1.3068336073
	7.4588251313 | 7.7983639010 | 0.1152865762
	7.4588251313 | 6.7232714433 | 0.5410392280
	7.4588251313 | 6.8403366911 | 0.3825279506
	7.4588251313 | 5.6555146904 | 3.2519285461
	7.4588251313 | 7.6130442625 | 0.0237835404
	7.4588251313 | 6.8595763646 | 0.3590990844
	7.4588251313 | 7.6459306248 | 0.0350084657
	7.4588251313 | 5.8854586994 | 2.4754819291
	7.4588251313 | 7.5934367560 | 0.0181202895
	7.4588251313 | 6.8354314833 | 0.3886196403
	7.4588251313 | 8.2185156927 | 0.5771297491
	7.4588251313 | 7.4733404786 | 0.0002106953
	7.4588251313 | 6.0174574162 | 2.0775408902
	7.4588251313 | 7.8255925605 | 0.1345183471
	7.4588251313 | 8.0233280940 | 0.3186635949
	7.4588251313 | 7.8594450552 | 0.1604963234
	7.4588251313 | 8.0335518290 | 0.3303107770
	7.4588251313 | 7.9014650393 | 0.1959300881
	7.4588251313 | 7.5619136529 | 0.0106272433
