Graph reconstruction via  vertex betweenness centrality
	Original graph description file-> ../example_graphs/sfba-inipy.txt		Ordre-> 40
	Pseudorandom generator seeds-> 490,490,490
THRESHOLD ACCEPTANCE :
	Initial Temperature-> 0.900000
	Tk final-> 0.000100
	Minimum Temperature-> 0.000100
	Geometric cooling rate: T[k]=0.980000 * T[k-1]
	Number Maxim of Combinations-> 2000
RESULTS:
	Best cost -> 23.30384257951395809982
	Betweenness centrality
	 Desired BC  |  Closest BC  | Difference^2
	45.6522324293 | 49.0624481811 | 11.6295714743
	3.6193580194 | 5.1189741468 | 2.2488485296
	14.8101968258 | 14.2962679540 | 0.2641228853
	95.6802585245 | 94.5261588564 | 1.3319460439
	80.7599408181 | 76.1561682840 | 21.1947215459
	151.9124776000 | 149.3830653529 | 6.3979263159
	38.1071303166 | 39.2954608345 | 1.4121294199
	60.5283449415 | 58.4651324582 | 4.2568457514
	15.7713610460 | 15.6881757307 | 0.0069197967
	26.9295441315 | 24.7366347545 | 4.8088515356
	45.3353975536 | 44.2201179195 | 1.2438486624
	26.9394855072 | 30.1008921010 | 9.9944916511
	18.7386443260 | 20.6796972843 | 3.7676865868
	12.9336643570 | 12.3032296713 | 0.3974478930
	14.2649027747 | 14.9369993619 | 0.4517138225
	41.8627761972 | 39.4736848335 | 5.7077575445
	23.8797765501 | 24.5568078394 | 0.4583713666
	13.8573527199 | 16.6944806154 | 8.0492946953
	14.6417113659 | 13.5538325061 | 1.1834804135
	7.6741391471 | 8.8953858751 | 1.4914435707
	21.0954875292 | 21.1558839104 | 0.0036477229
	7.3071484354 | 22.5301724641 | 231.7404605794
	8.1531554515 | 8.4127309316 | 0.0673794299
	17.5377826988 | 20.2020761054 | 7.0984593567
	16.0668745556 | 15.1808818132 | 0.7849831395
	12.1911370473 | 10.0126722165 | 4.7457090187
	8.8726714451 | 6.1272702489 | 7.5372277282
	11.2864427278 | 10.5993664922 | 0.4720737536
	10.1091975389 | 9.8147893731 | 0.0866761681
	8.0182772777 | 17.6329028042 | 92.4410240151
	14.6978954500 | 16.4118371881 | 2.9375962817
	6.2137733467 | 8.2452737131 | 4.1269937387
	18.2282702253 | 18.2672716757 | 0.0015211131
	10.7750992010 | 19.2867423199 | 72.4480685819
	10.2547250236 | 8.4155446587 | 3.3825844147
	5.8496227769 | 8.2746772647 | 5.8808892687
	7.5810516990 | 10.7071517790 | 9.7725017104
	8.4908655969 | 11.5437410190 | 9.3200483433
	6.0780658615 | 8.0558970197 | 3.9118160905
	7.0879116947 | 6.9783716985 | 0.0119990108
