Graph reconstruction via  vertex betweenness centrality
	Original graph description file-> ../example_graphs/circ-inipy.txt		Ordre-> 40
	Pseudorandom generator seeds-> 245,245,245
THRESHOLD ACCEPTANCE :
	Initial Temperature-> 0.900000
	Tk final-> 0.000100
	Minimum Temperature-> 0.000100
	Geometric cooling rate: T[k]=0.980000 * T[k-1]
	Number Maxim of Combinations-> 2000
RESULTS:
	Best cost -> 4.93393754681707008558
	Betweenness centrality
	 Desired BC  |  Closest BC  | Difference^2
	7.4588251313 | 8.2135833237 | 0.5696599290
	7.4588251313 | 5.8100942996 | 2.7183133553
	7.4588251313 | 6.2441024913 | 1.4755510920
	7.4588251313 | 6.4088727171 | 1.1024000721
	7.4588251313 | 8.0939493122 | 0.4033827252
	7.4588251313 | 8.1575851539 | 0.4882655692
	7.4588251313 | 6.3235860303 | 1.2887678164
	7.4588251313 | 7.6785488499 | 0.0482785125
	7.4588251313 | 8.0427772916 | 0.3410001256
	7.4588251313 | 5.5323333119 | 3.7113707302
	7.4588251313 | 5.9899700598 | 2.1575352211
	7.4588251313 | 7.9872200596 | 0.2792012002
	7.4588251313 | 7.1529909523 | 0.0935345450
	7.4588251313 | 7.4759992365 | 0.0002949499
	7.4588251313 | 7.9618312733 | 0.2530151789
	7.4588251313 | 7.8681961767 | 0.1675846528
	7.4588251313 | 7.3345401385 | 0.0154467594
	7.4588251313 | 7.6454625090 | 0.0348335108
	7.4588251313 | 8.1211276725 | 0.4386446561
	7.4588251313 | 7.6400499925 | 0.0328424503
	7.4588251313 | 7.8472361757 | 0.1508631394
	7.4588251313 | 8.3079485548 | 0.7210105884
	7.4588251313 | 8.6503667741 | 1.4197714866
	7.4588251313 | 8.1977831606 | 0.5460589690
	7.4588251313 | 7.4213945147 | 0.0014010511
	7.4588251313 | 8.0509679905 | 0.3506331657
	7.4588251313 | 8.0189298627 | 0.3137173102
	7.4588251313 | 8.0190931448 | 0.3139002470
	7.4588251313 | 7.6021160975 | 0.0205323010
	7.4588251313 | 7.9263862417 | 0.2186133920
	7.4588251313 | 7.5334180845 | 0.0055641087
	7.4588251313 | 6.2002140414 | 1.5841018755
	7.4588251313 | 8.2622425887 | 0.6454796109
	7.4588251313 | 7.6091677911 | 0.0226029154
	7.4588251313 | 8.1592827926 | 0.4906409353
	7.4588251313 | 7.9931895648 | 0.2855453478
	7.4588251313 | 7.3102000529 | 0.0220894139
	7.4588251313 | 7.5211990051 | 0.0038905001
	7.4588251313 | 7.8978133514 | 0.1927106574
	7.4588251313 | 6.2694178637 | 1.4146896483
