Graph reconstruction via  vertex betweenness centrality
	Original graph description file-> ../example_graphs/sfba-inipy.txt		Ordre-> 40
	Pseudorandom generator seeds-> 350,350,350
THRESHOLD ACCEPTANCE :
	Initial Temperature-> 0.900000
	Tk final-> 0.000100
	Minimum Temperature-> 0.000100
	Geometric cooling rate: T[k]=0.980000 * T[k-1]
	Number Maxim of Combinations-> 2000
RESULTS:
	Best cost -> 22.47494291578999536796
	Betweenness centrality
	 Desired BC  |  Closest BC  | Difference^2
	45.6522324293 | 44.6390145715 | 1.0266104273
	3.6193580194 | 10.9091829002 | 53.1415467923
	14.8101968258 | 13.9164069492 | 0.7988603436
	95.6802585245 | 93.2272779060 | 6.0171139145
	80.7599408181 | 78.1646187996 | 6.7356963797
	151.9124776000 | 150.6200987765 | 1.6702430235
	38.1071303166 | 40.7485484762 | 6.9770898939
	60.5283449415 | 55.3211805508 | 27.1145609925
	15.7713610460 | 15.8434895046 | 0.0052025145
	26.9295441315 | 26.6785443667 | 0.0630008819
	45.3353975536 | 47.9245855808 | 6.7038946399
	26.9394855072 | 26.8262980949 | 0.0128113903
	18.7386443260 | 17.8346675375 | 0.8171740341
	12.9336643570 | 18.7849655456 | 34.2377255995
	14.2649027747 | 18.1005433819 | 14.7121388676
	41.8627761972 | 38.9713314470 | 8.3604527438
	23.8797765501 | 21.7806424154 | 4.4063641156
	13.8573527199 | 16.6335439496 | 7.7072377441
	14.6417113659 | 17.5823191019 | 8.6471738575
	7.6741391471 | 6.5828504820 | 1.1909109505
	21.0954875292 | 22.3290216365 | 1.5216063939
	7.3071484354 | 7.8086599129 | 0.2515137621
	8.1531554515 | 11.0922605922 | 8.6383390281
	17.5377826988 | 22.0898252485 | 20.7210913747
	16.0668745556 | 16.5836737806 | 0.2670814390
	12.1911370473 | 12.6512833171 | 0.2117345896
	8.8726714451 | 10.9007981264 | 4.1132978354
	11.2864427278 | 13.6322275124 | 5.5027062554
	10.1091975389 | 17.0171789410 | 47.7202070525
	8.0182772777 | 12.5138868657 | 20.2105055675
	14.6978954500 | 15.2145717422 | 0.2669543909
	6.2137733467 | 7.9621869532 | 3.0569501392
	18.2282702253 | 23.2673401687 | 25.3922258942
	10.7750992010 | 12.4234112960 | 2.7169327625
	10.2547250236 | 17.1618174399 | 47.7079256463
	5.8496227769 | 7.0284935552 | 1.3897363119
	7.5810516990 | 9.5771942810 | 3.9845852079
	8.4908655969 | 10.5133109745 | 4.0902853056
	6.0780658615 | 10.6804819603 | 21.1822339463
	7.0879116947 | 16.8772598374 | 95.8313370584
