Graph reconstruction via  vertex betweenness centrality
	Original graph description file-> ../example_graphs/circ-inipy.txt		Ordre-> 40
	Pseudorandom generator seeds-> 190,190,190
THRESHOLD ACCEPTANCE :
	Initial Temperature-> 0.900000
	Tk final-> 0.000100
	Minimum Temperature-> 0.000100
	Geometric cooling rate: T[k]=0.980000 * T[k-1]
	Number Maxim of Combinations-> 2000
RESULTS:
	Best cost -> 4.71970860103294853616
	Betweenness centrality
	 Desired BC  |  Closest BC  | Difference^2
	7.4588251313 | 6.0316776424 | 2.0367499549
	7.4588251313 | 7.8164427355 | 0.1278903508
	7.4588251313 | 7.4349731015 | 0.0005689193
	7.4588251313 | 8.1658343311 | 0.4998620086
	7.4588251313 | 7.9865085240 | 0.2784497630
	7.4588251313 | 8.0893455201 | 0.3975559607
	7.4588251313 | 8.0024937002 | 0.2955755129
	7.4588251313 | 6.4052263945 | 1.1100702981
	7.4588251313 | 7.7361405146 | 0.0769038218
	7.4588251313 | 8.1203240852 | 0.4375808660
	7.4588251313 | 6.4206342841 | 1.0778402351
	7.4588251313 | 6.2720510883 | 1.4084326291
	7.4588251313 | 8.0138251834 | 0.3080250579
	7.4588251313 | 8.0344554034 | 0.3313502102
	7.4588251313 | 8.0870732131 | 0.3946956524
	7.4588251313 | 7.6059782376 | 0.0216540367
	7.4588251313 | 7.3526126827 | 0.0112810842
	7.4588251313 | 8.3631690584 | 0.8178379386
	7.4588251313 | 7.8634914747 | 0.1637548495
	7.4588251313 | 8.5274228217 | 1.1419010240
	7.4588251313 | 7.9686531890 | 0.2599246485
	7.4588251313 | 7.9166668799 | 0.2096190668
	7.4588251313 | 7.6515032043 | 0.0371248398
	7.4588251313 | 5.6038249661 | 3.4410256129
	7.4588251313 | 8.1912798034 | 0.5364898467
	7.4588251313 | 8.0029524394 | 0.2960745275
	7.4588251313 | 6.5875590507 | 0.7591045832
	7.4588251313 | 8.2439696974 | 0.6164519896
	7.4588251313 | 7.7955648936 | 0.1133936675
	7.4588251313 | 6.3677570024 | 1.1904296619
	7.4588251313 | 8.4617631261 | 1.0058846214
	7.4588251313 | 7.7196420086 | 0.0680254435
	7.4588251313 | 7.3976171630 | 0.0037464154
	7.4588251313 | 8.0524005564 | 0.3523317853
	7.4588251313 | 8.3627297862 | 0.8170436251
	7.4588251313 | 8.0420279064 | 0.3401254769
	7.4588251313 | 6.3878175190 | 1.1470573055
	7.4588251313 | 7.8322058777 | 0.1394131818
	7.4588251313 | 7.4832659831 | 0.0005973552
	7.4588251313 | 7.3971367982 | 0.0038054504
