Graph reconstruction via  vertex betweenness centrality
	Original graph description file-> ../example_graphs/circ-inipy.txt		Ordre-> 40
	Pseudorandom generator seeds-> 370,370,370
THRESHOLD ACCEPTANCE :
	Initial Temperature-> 0.900000
	Tk final-> 0.000100
	Minimum Temperature-> 0.000100
	Geometric cooling rate: T[k]=0.980000 * T[k-1]
	Number Maxim of Combinations-> 2000
RESULTS:
	Best cost -> 4.60637615576656589411
	Betweenness centrality
	 Desired BC  |  Closest BC  | Difference^2
	7.4588251313 | 7.7439089203 | 0.0812727668
	7.4588251313 | 6.3780690843 | 1.1680336331
	7.4588251313 | 8.5764754987 | 1.2491423438
	7.4588251313 | 7.6057739976 | 0.0215939693
	7.4588251313 | 7.0476315185 | 0.1690801872
	7.4588251313 | 8.1315699438 | 0.4525855828
	7.4588251313 | 8.1018318485 | 0.4134576384
	7.4588251313 | 7.9010006988 | 0.1955192325
	7.4588251313 | 8.3552018586 | 0.8034912372
	7.4588251313 | 7.8613873656 | 0.1620563525
	7.4588251313 | 7.6340800391 | 0.0307142827
	7.4588251313 | 7.6794540751 | 0.0486771308
	7.4588251313 | 7.5363833602 | 0.0060152789
	7.4588251313 | 8.4315610299 | 0.9462151284
	7.4588251313 | 8.1010832749 | 0.4124955230
	7.4588251313 | 6.3711328664 | 1.1830744632
	7.4588251313 | 6.2654561947 | 1.4241294187
	7.4588251313 | 7.5455560837 | 0.0075222581
	7.4588251313 | 8.2316906808 | 0.5973211576
	7.4588251313 | 8.5253938188 | 1.1375687652
	7.4588251313 | 8.4020380664 | 0.8896506411
	7.4588251313 | 7.7631798065 | 0.0926317683
	7.4588251313 | 7.4034666166 | 0.0030645651
	7.4588251313 | 8.3491312062 | 0.7926449070
	7.4588251313 | 6.3170360780 | 1.3036822422
	7.4588251313 | 6.0095310041 | 2.1004534671
	7.4588251313 | 7.5585353519 | 0.0099421281
	7.4588251313 | 7.9392595855 | 0.2308172648
	7.4588251313 | 8.1024574809 | 0.4142626015
	7.4588251313 | 6.1460201192 | 1.7234569998
	7.4588251313 | 7.6565467924 | 0.0390938553
	7.4588251313 | 7.6955199448 | 0.0560244347
	7.4588251313 | 7.9519985068 | 0.2432199783
	7.4588251313 | 6.0779646563 | 1.9067756514
	7.4588251313 | 7.5313291353 | 0.0052568306
	7.4588251313 | 7.7723428560 | 0.0982933637
	7.4588251313 | 8.0555610737 | 0.3560937850
	7.4588251313 | 7.8029836447 | 0.1184450824
	7.4588251313 | 7.9455177143 | 0.2368696703
	7.4588251313 | 7.7555669409 | 0.0880557016
