Graph reconstruction via  vertex betweenness centrality
	Original graph description file-> ../example_graphs/sfba-inipy.txt		Ordre-> 40
	Pseudorandom generator seeds-> 32,32,32
THRESHOLD ACCEPTANCE :
	Initial Temperature-> 0.900000
	Tk final-> 0.000100
	Minimum Temperature-> 0.000100
	Geometric cooling rate: T[k]=0.980000 * T[k-1]
	Number Maxim of Combinations-> 2000
RESULTS:
	Best cost -> 22.13951931065905753826
	Betweenness centrality
	 Desired BC  |  Closest BC  | Difference^2
	45.6522324293 | 44.0346013223 | 2.6167303983
	3.6193580194 | 17.2507899888 | 185.8159375374
	14.8101968258 | 15.3634450249 | 0.3060835698
	95.6802585245 | 88.5538213332 | 50.7861070412
	80.7599408181 | 76.5051486578 | 18.1032563271
	151.9124776000 | 154.0474938112 | 4.5582942220
	38.1071303166 | 36.9215966419 | 1.4054900938
	60.5283449415 | 57.6323177678 | 8.3869733911
	15.7713610460 | 16.7239607242 | 0.9074461468
	26.9295441315 | 25.0771137106 | 3.4314984641
	45.3353975536 | 39.7326298949 | 31.3910054383
	26.9394855072 | 27.1927461592 | 0.0641409578
	18.7386443260 | 17.6996661509 | 1.0794756484
	12.9336643570 | 14.1523429279 | 1.4851774591
	14.2649027747 | 13.0125817855 | 1.5683078598
	41.8627761972 | 43.0953299287 | 1.5191887009
	23.8797765501 | 24.0884973653 | 0.0435643787
	13.8573527199 | 12.1016199955 | 3.0825973995
	14.6417113659 | 17.3667188033 | 7.4256655341
	7.6741391471 | 13.7450301578 | 36.8557176640
	21.0954875292 | 21.4421443805 | 0.1201709725
	7.3071484354 | 9.5699768724 | 5.1203925352
	8.1531554515 | 9.2004078793 | 1.0967376476
	17.5377826988 | 16.3083925306 | 1.5114001857
	16.0668745556 | 13.3947751838 | 7.1401150524
	12.1911370473 | 11.3223056300 | 0.7548680316
	8.8726714451 | 10.5154707046 | 2.6987894070
	11.2864427278 | 8.6046297776 | 7.1921206999
	10.1091975389 | 10.1410938776 | 0.0010173764
	8.0182772777 | 10.5205907984 | 6.2615729560
	14.6978954500 | 17.1670746832 | 6.0968460860
	6.2137733467 | 7.3878556868 | 1.3784693413
	18.2282702253 | 19.1504628912 | 0.8504393129
	10.7750992010 | 12.0632123437 | 1.6592354682
	10.2547250236 | 9.9504942843 | 0.0925563428
	5.8496227769 | 6.5003159604 | 0.4234016191
	7.5810516990 | 10.1856978964 | 6.7841818140
	8.4908655969 | 12.7712429434 | 18.3216302282
	6.0780658615 | 12.1016199955 | 36.2832044053
	7.0879116947 | 12.1414755454 | 25.5385075923
