Graph reconstruction via  vertex betweenness centrality
	Original graph description file-> ../example_graphs/sfba-inipy.txt		Ordre-> 40
	Pseudorandom generator seeds-> 154,154,154
THRESHOLD ACCEPTANCE :
	Initial Temperature-> 0.900000
	Tk final-> 0.000100
	Minimum Temperature-> 0.000100
	Geometric cooling rate: T[k]=0.980000 * T[k-1]
	Number Maxim of Combinations-> 2000
RESULTS:
	Best cost -> 22.50120119448322242306
	Betweenness centrality
	 Desired BC  |  Closest BC  | Difference^2
	45.6522324293 | 43.0716808264 | 6.6592465751
	3.6193580194 | 8.2712442067 | 21.6400450996
	14.8101968258 | 21.5775597135 | 45.7972004529
	95.6802585245 | 94.3440301977 | 1.7855061414
	80.7599408181 | 79.1325990447 | 2.6482412474
	151.9124776000 | 144.7162721055 | 51.7853735189
	38.1071303166 | 35.7698472636 | 5.4628920696
	60.5283449415 | 61.7648228928 | 1.5288777239
	15.7713610460 | 18.8202222076 | 9.2955543829
	26.9295441315 | 25.5873306722 | 1.8015369701
	45.3353975536 | 46.8570167487 | 2.3153249747
	26.9394855072 | 26.6929783459 | 0.0607657806
	18.7386443260 | 25.3884484806 | 44.2198952945
	12.9336643570 | 16.2929820004 | 11.2850150290
	14.2649027747 | 14.6147594422 | 0.1223996878
	41.8627761972 | 41.2546906895 | 0.3697679847
	23.8797765501 | 21.8762530930 | 4.0141062434
	13.8573527199 | 16.3168566383 | 6.0491595249
	14.6417113659 | 20.3121295548 | 32.1536424372
	7.6741391471 | 14.5743353286 | 47.6127073427
	21.0954875292 | 22.0616154396 | 0.9334031392
	7.3071484354 | 14.1420449197 | 46.7158099515
	8.1531554515 | 14.8280432663 | 44.5541273404
	17.5377826988 | 16.4935070172 | 1.0905116991
	16.0668745556 | 20.3200043814 | 18.0891133150
	12.1911370473 | 11.6602141317 | 0.2818791423
	8.8726714451 | 13.7216473145 | 23.5125669822
	11.2864427278 | 12.5309252359 | 1.5487367130
	10.1091975389 | 11.2997653081 | 1.4174516130
	8.0182772777 | 9.4482844664 | 2.0449205598
	14.6978954500 | 13.0077236874 | 2.8566805869
	6.2137733467 | 8.7658684016 | 6.5131891689
	18.2282702253 | 20.6658393940 | 5.9417434523
	10.7750992010 | 11.4144330395 | 0.4087477570
	10.2547250236 | 9.3462930898 | 0.8252485785
	5.8496227769 | 8.8702375525 | 9.1241136226
	7.5810516990 | 10.3039126950 | 7.4139720038
	8.4908655969 | 11.9746982711 | 12.1370901020
	6.0780658615 | 7.6332195412 | 2.4185029676
	7.0879116947 | 11.7643406761 | 21.8689880182
