Graph reconstruction via  vertex betweenness centrality
	Original graph description file-> ../example_graphs/circ-inipy.txt		Ordre-> 40
	Pseudorandom generator seeds-> 170,170,170
THRESHOLD ACCEPTANCE :
	Initial Temperature-> 0.900000
	Tk final-> 0.000100
	Minimum Temperature-> 0.000100
	Geometric cooling rate: T[k]=0.980000 * T[k-1]
	Number Maxim of Combinations-> 2000
RESULTS:
	Best cost -> 4.69352526911134848575
	Betweenness centrality
	 Desired BC  |  Closest BC  | Difference^2
	7.4588251313 | 7.4447012818 | 0.0001994831
	7.4588251313 | 7.5181628476 | 0.0035209646
	7.4588251313 | 5.8557758087 | 2.5697671306
	7.4588251313 | 7.9315860086 | 0.2235028472
	7.4588251313 | 7.8012218645 | 0.1172355229
	7.4588251313 | 6.1498761240 | 1.7133475037
	7.4588251313 | 8.6184833402 | 1.3448071616
	7.4588251313 | 7.2172925783 | 0.0583379742
	7.4588251313 | 7.4535940833 | 0.0000273639
	7.4588251313 | 6.3663650171 | 1.1934691011
	7.4588251313 | 7.9118095959 | 0.2051949252
	7.4588251313 | 7.9626294806 | 0.2538188224
	7.4588251313 | 7.5515753628 | 0.0086026054
	7.4588251313 | 7.2727105788 | 0.0346386266
	7.4588251313 | 7.6496724437 | 0.0364226967
	7.4588251313 | 6.0518356993 | 1.9796192616
	7.4588251313 | 7.9278319220 | 0.2199673697
	7.4588251313 | 7.7706361231 | 0.0972260946
	7.4588251313 | 7.3530864500 | 0.0111806687
	7.4588251313 | 7.8490859294 | 0.1523034906
	7.4588251313 | 7.4755383124 | 0.0002793304
	7.4588251313 | 7.6760086972 | 0.0471687013
	7.4588251313 | 7.8280004624 | 0.1362904251
	7.4588251313 | 7.5889266941 | 0.0169264166
	7.4588251313 | 7.6516338022 | 0.0371751836
	7.4588251313 | 7.7542362982 | 0.0872677575
	7.4588251313 | 6.3015299182 | 1.3393322102
	7.4588251313 | 6.7156351125 | 0.5523314040
	7.4588251313 | 7.5220769138 | 0.0040007880
	7.4588251313 | 8.1276508486 | 0.4473278402
	7.4588251313 | 7.5326568548 | 0.0054511234
	7.4588251313 | 7.5490032755 | 0.0081320977
	7.4588251313 | 5.9681432728 | 2.2221324033
	7.4588251313 | 7.9831451082 | 0.2749114382
	7.4588251313 | 6.4470921860 | 1.0236035525
	7.4588251313 | 7.8021195268 | 0.1178510420
	7.4588251313 | 7.9262077533 | 0.2184465153
	7.4588251313 | 6.1303934715 | 1.7647306748
	7.4588251313 | 5.6325719734 | 3.3352005965
	7.4588251313 | 7.8680076540 | 0.1674303369
