Graph reconstruction via  vertex betweenness centrality
	Original graph description file-> ../example_graphs/sfba-inipy.txt		Ordre-> 40
	Pseudorandom generator seeds-> 29,29,29
THRESHOLD ACCEPTANCE :
	Initial Temperature-> 0.900000
	Tk final-> 0.000100
	Minimum Temperature-> 0.000100
	Geometric cooling rate: T[k]=0.980000 * T[k-1]
	Number Maxim of Combinations-> 2000
RESULTS:
	Best cost -> 19.45425538248726127222
	Betweenness centrality
	 Desired BC  |  Closest BC  | Difference^2
	45.6522324293 | 44.4560136554 | 1.4309393550
	3.6193580194 | 4.7103615314 | 1.1902886631
	14.8101968258 | 15.0928311017 | 0.0798821339
	95.6802585245 | 91.2112602793 | 19.9719453151
	80.7599408181 | 75.4418182311 | 28.2824278498
	151.9124776000 | 151.5922061594 | 0.1025737957
	38.1071303166 | 35.7266059212 | 5.6668963969
	60.5283449415 | 58.3737289977 | 4.6423698656
	15.7713610460 | 19.1740349646 | 11.5781897964
	26.9295441315 | 25.9001631362 | 1.0596252333
	45.3353975536 | 44.1275735214 | 1.4588388928
	26.9394855072 | 24.8375688533 | 4.4180536202
	18.7386443260 | 17.8186394957 | 0.8464088878
	12.9336643570 | 11.1762849455 | 3.0883823960
	14.2649027747 | 14.3239428971 | 0.0034857361
	41.8627761972 | 41.3434797444 | 0.2696688060
	23.8797765501 | 22.1158159084 | 3.1115571455
	13.8573527199 | 12.0654979340 | 3.2107435737
	14.6417113659 | 17.5212099654 | 8.2915121844
	7.6741391471 | 8.1029193962 | 0.1838525020
	21.0954875292 | 21.7723266571 | 0.4581112050
	7.3071484354 | 7.0840489828 | 0.0497733657
	8.1531554515 | 9.5586713911 | 1.9754750566
	17.5377826988 | 18.9862086866 | 2.0979378421
	16.0668745556 | 19.4535060520 | 11.4692728925
	12.1911370473 | 11.0914248228 | 1.2093669767
	8.8726714451 | 8.6291449434 | 0.0593051571
	11.2864427278 | 17.2008382533 | 34.9800744319
	10.1091975389 | 11.6929409980 | 2.5082433442
	8.0182772777 | 8.6622211129 | 0.4146636629
	14.6978954500 | 18.9949814360 | 18.4649479713
	6.2137733467 | 11.3245893011 | 26.1204397200
	18.2282702253 | 15.6740088276 | 6.5242512881
	10.7750992010 | 22.4013851472 | 135.1705249019
	10.2547250236 | 9.8968303806 | 0.1280885755
	5.8496227769 | 7.0840489828 | 1.5238080580
	7.5810516990 | 6.8964246140 | 0.4687142454
	8.4908655969 | 7.3973583838 | 1.1957580251
	6.0780658615 | 5.1892990394 | 0.7899064640
	7.0879116947 | 12.9164404245 | 33.9717471540
