Graph reconstruction via  vertex betweenness centrality
	Original graph description file-> ../example_graphs/circ-inipy.txt		Ordre-> 40
	Pseudorandom generator seeds-> 336,336,336
THRESHOLD ACCEPTANCE :
	Initial Temperature-> 0.900000
	Tk final-> 0.000100
	Minimum Temperature-> 0.000100
	Geometric cooling rate: T[k]=0.980000 * T[k-1]
	Number Maxim of Combinations-> 2000
RESULTS:
	Best cost -> 4.44680566039198144068
	Betweenness centrality
	 Desired BC  |  Closest BC  | Difference^2
	7.4588251313 | 7.6660396946 | 0.0429378752
	7.4588251313 | 8.1887591009 | 0.5328036000
	7.4588251313 | 8.1900893061 | 0.5347472934
	7.4588251313 | 8.1239278108 | 0.4423615743
	7.4588251313 | 5.7786462168 | 2.8230011848
	7.4588251313 | 7.7393413951 | 0.0786893742
	7.4588251313 | 7.3288250592 | 0.0169000188
	7.4588251313 | 7.7629546195 | 0.0924947456
	7.4588251313 | 7.8640467678 | 0.1642045747
	7.4588251313 | 7.6407108053 | 0.0330823984
	7.4588251313 | 8.4614931819 | 1.0053432197
	7.4588251313 | 8.5131589487 | 1.1116197986
	7.4588251313 | 6.4970096547 | 0.9250890110
	7.4588251313 | 6.5454132994 | 0.8343211746
	7.4588251313 | 7.7699611139 | 0.0968055997
	7.4588251313 | 7.7002480242 | 0.0582850132
	7.4588251313 | 7.6734350493 | 0.0460574169
	7.4588251313 | 7.5865644281 | 0.0163173279
	7.4588251313 | 7.7693361331 | 0.0964170823
	7.4588251313 | 6.3719362394 | 1.1813274632
	7.4588251313 | 7.3686187890 | 0.0081371842
	7.4588251313 | 7.8322355966 | 0.1394353756
	7.4588251313 | 8.2086671835 | 0.5622631032
	7.4588251313 | 7.4137047252 | 0.0020358510
	7.4588251313 | 8.0057245860 | 0.2990990136
	7.4588251313 | 7.9136685788 | 0.2068825618
	7.4588251313 | 6.2584442222 | 1.4409143270
	7.4588251313 | 6.3211990390 | 1.2941931258
	7.4588251313 | 7.2707966462 | 0.0353547112
	7.4588251313 | 7.5710789823 | 0.0126009271
	7.4588251313 | 7.4530511253 | 0.0000333391
	7.4588251313 | 8.1012086168 | 0.4126565424
	7.4588251313 | 8.0815284144 | 0.3877593788
	7.4588251313 | 8.0511398136 | 0.3508366829
	7.4588251313 | 6.0538023451 | 1.9740890298
	7.4588251313 | 8.0316386496 | 0.3281153267
	7.4588251313 | 6.7025862330 | 0.5718972713
	7.4588251313 | 8.5597654327 | 1.2120695474
	7.4588251313 | 7.8477363161 | 0.1512519097
	7.4588251313 | 7.9604720450 | 0.2516496260
