Graph reconstruction via  vertex betweenness centrality
	Original graph description file-> ../example_graphs/sfba-inipy.txt		Ordre-> 40
	Pseudorandom generator seeds-> 24,24,24
THRESHOLD ACCEPTANCE :
	Initial Temperature-> 0.900000
	Tk final-> 0.000100
	Minimum Temperature-> 0.000100
	Geometric cooling rate: T[k]=0.980000 * T[k-1]
	Number Maxim of Combinations-> 2000
RESULTS:
	Best cost -> 18.02443218975648875357
	Betweenness centrality
	 Desired BC  |  Closest BC  | Difference^2
	45.6522324293 | 43.8215040156 | 3.3515665244
	3.6193580194 | 3.6195770666 | 0.0000000480
	14.8101968258 | 16.6319440698 | 3.3187630207
	95.6802585245 | 92.0643120258 | 13.0750690813
	80.7599408181 | 76.3849889067 | 19.1402042268
	151.9124776000 | 149.2373291272 | 7.1564193516
	38.1071303166 | 38.9267561192 | 0.6717864564
	60.5283449415 | 60.5179374080 | 0.0001083168
	15.7713610460 | 14.8070744275 | 0.9298486826
	26.9295441315 | 23.6902929285 | 10.4927483559
	45.3353975536 | 44.3304742981 | 1.0098707496
	26.9394855072 | 26.8335167863 | 0.0112293698
	18.7386443260 | 19.2716222288 | 0.2840654449
	12.9336643570 | 12.6634879375 | 0.0729952976
	14.2649027747 | 18.5432937238 | 18.3046291131
	41.8627761972 | 40.4647502279 | 1.9544766110
	23.8797765501 | 26.1870675750 | 5.3235918735
	13.8573527199 | 24.7300972414 | 118.2165734309
	14.6417113659 | 11.1298445112 | 12.3332088047
	7.6741391471 | 13.0582535446 | 28.9886878449
	21.0954875292 | 20.8987376250 | 0.0387105248
	7.3071484354 | 7.6581007231 | 0.1231675083
	8.1531554515 | 11.3004025122 | 9.9051640614
	17.5377826988 | 18.0416599541 | 0.2538922884
	16.0668745556 | 16.0909822877 | 0.0005811827
	12.1911370473 | 14.0520904995 | 3.4631477515
	8.8726714451 | 9.6865476646 | 0.6623945007
	11.2864427278 | 11.8043761758 | 0.2682550565
	10.1091975389 | 12.4482231034 | 5.4710405916
	8.0182772777 | 9.0830488560 | 1.1337385139
	14.6978954500 | 14.9148022286 | 0.0470485506
	6.2137733467 | 7.2693709196 | 1.1142862359
	18.2282702253 | 20.9248796594 | 7.2717024400
	10.7750992010 | 13.0582535446 | 5.2127937563
	10.2547250236 | 9.7310179154 | 0.2742691352
	5.8496227769 | 9.9302373926 | 16.6514156419
	7.5810516990 | 8.0706025699 | 0.2396600552
	8.4908655969 | 11.4944063794 | 9.0212572322
	6.0780658615 | 6.2258011963 | 0.0218257292
	7.0879116947 | 11.4548285021 | 19.0699624026
