Graph reconstruction via  vertex betweenness centrality
	Original graph description file-> ../example_graphs/circ-inipy.txt		Ordre-> 40
	Pseudorandom generator seeds-> 214,214,214
THRESHOLD ACCEPTANCE :
	Initial Temperature-> 0.900000
	Tk final-> 0.000100
	Minimum Temperature-> 0.000100
	Geometric cooling rate: T[k]=0.980000 * T[k-1]
	Number Maxim of Combinations-> 2000
RESULTS:
	Best cost -> 4.73124124260245437767
	Betweenness centrality
	 Desired BC  |  Closest BC  | Difference^2
	7.4588251313 | 7.4005752231 | 0.0033930518
	7.4588251313 | 8.0532284855 | 0.3533153475
	7.4588251313 | 7.9234101086 | 0.2158392011
	7.4588251313 | 7.7512349994 | 0.0855035310
	7.4588251313 | 7.5253912670 | 0.0044310504
	7.4588251313 | 8.0251128836 | 0.3206818184
	7.4588251313 | 7.3010625046 | 0.0248890464
	7.4588251313 | 6.0627413558 | 1.9490499082
	7.4588251313 | 8.1312539204 | 0.4521604765
	7.4588251313 | 8.2425038742 | 0.6141523721
	7.4588251313 | 6.9376546608 | 0.2716186593
	7.4588251313 | 6.2526079863 | 1.4549598009
	7.4588251313 | 7.2792021479 | 0.0322644162
	7.4588251313 | 8.0483763536 | 0.3475706437
	7.4588251313 | 7.8727797150 | 0.1713583974
	7.4588251313 | 7.8626129053 | 0.1630445665
	7.4588251313 | 7.3437567088 | 0.0132407419
	7.4588251313 | 6.8477688852 | 0.3733897359
	7.4588251313 | 8.2381300586 | 0.6073161698
	7.4588251313 | 5.9044165101 | 2.4161861617
	7.4588251313 | 8.0206425770 | 0.3156388423
	7.4588251313 | 7.5323900262 | 0.0054117938
	7.4588251313 | 7.7854800132 | 0.1067034119
	7.4588251313 | 6.0088346999 | 2.1024722511
	7.4588251313 | 8.3787525514 | 0.8462664582
	7.4588251313 | 8.9662241941 | 2.2722519346
	7.4588251313 | 8.6241839974 | 1.3580612869
	7.4588251313 | 6.3532951430 | 1.2221965550
	7.4588251313 | 7.4869949047 | 0.0007935361
	7.4588251313 | 7.2847824658 | 0.0302908494
	7.4588251313 | 7.7930047358 | 0.1116760081
	7.4588251313 | 7.7676040780 | 0.0953444379
	7.4588251313 | 7.3679133978 | 0.0082649433
	7.4588251313 | 6.3415207643 | 1.2483690485
	7.4588251313 | 8.0407957131 | 0.3386897581
	7.4588251313 | 7.4330625733 | 0.0006637094
	7.4588251313 | 7.4301285370 | 0.0008234945
	7.4588251313 | 5.9691544971 | 2.2191185983
	7.4588251313 | 7.8975037261 | 0.1924389096
	7.4588251313 | 7.6453801424 | 0.0348027722
