Graph reconstruction via  vertex betweenness centrality
	Original graph description file-> ../example_graphs/circ-inipy.txt		Ordre-> 40
	Pseudorandom generator seeds-> 476,476,476
THRESHOLD ACCEPTANCE :
	Initial Temperature-> 0.900000
	Tk final-> 0.000100
	Minimum Temperature-> 0.000100
	Geometric cooling rate: T[k]=0.980000 * T[k-1]
	Number Maxim of Combinations-> 2000
RESULTS:
	Best cost -> 4.58588292342776249200
	Betweenness centrality
	 Desired BC  |  Closest BC  | Difference^2
	7.4588251313 | 5.7902675806 | 2.7840843001
	7.4588251313 | 7.8625807014 | 0.1630185604
	7.4588251313 | 6.1059014291 | 1.8304025439
	7.4588251313 | 7.6473173001 | 0.0355292977
	7.4588251313 | 6.6603889152 | 0.6375003911
	7.4588251313 | 5.9105157839 | 2.3972618352
	7.4588251313 | 7.8245307679 | 0.1337406126
	7.4588251313 | 7.9110337993 | 0.2044926794
	7.4588251313 | 8.2194860804 | 0.5786050796
	7.4588251313 | 7.9508990318 | 0.2421367235
	7.4588251313 | 6.4055371325 | 1.1094156084
	7.4588251313 | 7.6402779763 | 0.0329251350
	7.4588251313 | 7.5285112492 | 0.0048561550
	7.4588251313 | 7.4623783438 | 0.0000126253
	7.4588251313 | 8.1602866387 | 0.4920482464
	7.4588251313 | 6.6135904497 | 0.7144216670
	7.4588251313 | 7.7808059125 | 0.1036716235
	7.4588251313 | 7.4951263191 | 0.0013177762
	7.4588251313 | 7.9124755021 | 0.2057986589
	7.4588251313 | 7.6348961571 | 0.0310010061
	7.4588251313 | 8.1209439005 | 0.4384012645
	7.4588251313 | 7.7516946527 | 0.0857725566
	7.4588251313 | 7.3460972588 | 0.0127075732
	7.4588251313 | 8.3500776190 | 0.7943309969
	7.4588251313 | 7.4374647114 | 0.0004562675
	7.4588251313 | 6.2418109800 | 1.4811234443
	7.4588251313 | 7.3388507699 | 0.0143938474
	7.4588251313 | 7.9036530597 | 0.1978718859
	7.4588251313 | 7.8316178968 | 0.1389744460
	7.4588251313 | 8.0718206206 | 0.3757634700
	7.4588251313 | 7.7189058271 | 0.0676419683
	7.4588251313 | 6.7947911890 | 0.4409410766
	7.4588251313 | 5.6764920478 | 3.1767112205
	7.4588251313 | 7.8482704048 | 0.1516676211
	7.4588251313 | 8.0105057286 | 0.3043514814
	7.4588251313 | 8.1393184201 | 0.4630711161
	7.4588251313 | 7.6830855252 | 0.0502927243
	7.4588251313 | 8.0179571721 | 0.3126286391
	7.4588251313 | 7.7975634447 | 0.1147436450
	7.4588251313 | 8.2992038656 | 0.7062364171
