Graph reconstruction via  vertex betweenness centrality
	Original graph description file-> ../example_graphs/circ-inipy.txt		Ordre-> 40
	Pseudorandom generator seeds-> 186,186,186
THRESHOLD ACCEPTANCE :
	Initial Temperature-> 0.900000
	Tk final-> 0.000100
	Minimum Temperature-> 0.000100
	Geometric cooling rate: T[k]=0.980000 * T[k-1]
	Number Maxim of Combinations-> 2000
RESULTS:
	Best cost -> 4.25434934556135146977
	Betweenness centrality
	 Desired BC  |  Closest BC  | Difference^2
	7.4588251313 | 7.8154638812 | 0.1271911979
	7.4588251313 | 6.8267536079 | 0.3995144107
	7.4588251313 | 6.9034422909 | 0.3084500994
	7.4588251313 | 7.4981854473 | 0.0015492345
	7.4588251313 | 7.9784687206 | 0.2700294599
	7.4588251313 | 8.3118560597 | 0.7276617648
	7.4588251313 | 6.3029080335 | 1.3361443369
	7.4588251313 | 8.0874683606 | 0.3951923098
	7.4588251313 | 8.0201330395 | 0.3150665678
	7.4588251313 | 7.7587943005 | 0.0899815025
	7.4588251313 | 8.5520019426 | 1.1950355408
	7.4588251313 | 6.6877007614 | 0.5946327938
	7.4588251313 | 8.0692316209 | 0.3725960825
	7.4588251313 | 7.6130944976 | 0.0237990374
	7.4588251313 | 7.6130284901 | 0.0237786759
	7.4588251313 | 8.0400707601 | 0.3378464810
	7.4588251313 | 7.7167872521 | 0.0665444558
	7.4588251313 | 5.7908102438 | 2.7822736649
	7.4588251313 | 8.2075595163 | 0.5606031793
	7.4588251313 | 7.9042265276 | 0.1983824038
	7.4588251313 | 7.7926589838 | 0.1114450411
	7.4588251313 | 8.1846416495 | 0.5268096181
	7.4588251313 | 8.4936804388 | 1.0709255075
	7.4588251313 | 7.4047849687 | 0.0029203392
	7.4588251313 | 8.0352854958 | 0.3323065519
	7.4588251313 | 7.4523516118 | 0.0000419065
	7.4588251313 | 7.7275857419 | 0.0722322658
	7.4588251313 | 7.9549331183 | 0.2461231348
	7.4588251313 | 7.4045063712 | 0.0029505277
	7.4588251313 | 7.6545484049 | 0.0383075998
	7.4588251313 | 7.2916426716 | 0.0279499748
	7.4588251313 | 8.6669214374 | 1.4594966848
	7.4588251313 | 7.6103046509 | 0.0229460449
	7.4588251313 | 7.5619684401 | 0.0106385421
	7.4588251313 | 8.0177834221 | 0.3124343709
	7.4588251313 | 8.2062697144 | 0.5586734048
	7.4588251313 | 8.1481083948 | 0.4751114174
	7.4588251313 | 8.1150026788 | 0.4305689738
	7.4588251313 | 7.7138715938 | 0.0650486981
	7.4588251313 | 5.9734684230 | 2.2062845508
