Graph reconstruction via  vertex betweenness centrality
	Original graph description file-> ../example_graphs/sfba-inipy.txt		Ordre-> 40
	Pseudorandom generator seeds-> 155,155,155
THRESHOLD ACCEPTANCE :
	Initial Temperature-> 0.900000
	Tk final-> 0.000100
	Minimum Temperature-> 0.000100
	Geometric cooling rate: T[k]=0.980000 * T[k-1]
	Number Maxim of Combinations-> 2000
RESULTS:
	Best cost -> 27.48854352434821990414
	Betweenness centrality
	 Desired BC  |  Closest BC  | Difference^2
	45.6522324293 | 45.4143054191 | 0.0566092621
	3.6193580194 | 8.8655696868 | 27.5227368596
	14.8101968258 | 19.4219051338 | 21.2678535174
	95.6802585245 | 92.5097537731 | 10.0521003787
	80.7599408181 | 79.2735643036 | 2.2093151428
	151.9124776000 | 148.2944156897 | 13.0903719869
	38.1071303166 | 39.2685550241 | 1.3489073513
	60.5283449415 | 55.6719697086 | 23.5843804030
	15.7713610460 | 15.6550294354 | 0.0135330436
	26.9295441315 | 36.0590538316 | 83.3479473654
	45.3353975536 | 41.7095567840 | 13.1467212871
	26.9394855072 | 25.7636891228 | 1.3824971376
	18.7386443260 | 20.4099762878 | 2.7933505264
	12.9336643570 | 17.3707431033 | 19.6876678005
	14.2649027747 | 23.4620892826 | 84.5882396616
	41.8627761972 | 41.1431335866 | 0.5178854870
	23.8797765501 | 23.6120304523 | 0.0716879729
	13.8573527199 | 13.6751837998 | 0.0331855154
	14.6417113659 | 16.4195102999 | 3.1605690497
	7.6741391471 | 7.2840247669 | 0.1521892297
	21.0954875292 | 28.0646337977 | 48.5689997117
	7.3071484354 | 11.5960173987 | 18.3943969846
	8.1531554515 | 8.8655696868 | 0.5075340428
	17.5377826988 | 23.6351319321 | 37.1776676731
	16.0668745556 | 31.9404981085 | 251.9719247000
	12.1911370473 | 13.0566019209 | 0.7490294475
	8.8726714451 | 10.3943401909 | 2.3154757718
	11.2864427278 | 10.4639001838 | 0.6765762367
	10.1091975389 | 11.0968096669 | 0.9753777153
	8.0182772777 | 11.7392836122 | 13.8458881410
	14.6978954500 | 17.5039861429 | 7.8741449769
	6.2137733467 | 5.8027546426 | 0.1689363751
	18.2282702253 | 18.4431862619 | 0.0461889028
	10.7750992010 | 18.1347956993 | 54.1651325468
	10.2547250236 | 11.0968096669 | 0.7091065463
	5.8496227769 | 6.6714824984 | 0.6754534019
	7.5810516990 | 8.8745036807 | 1.6730180291
	8.4908655969 | 9.0198338101 | 0.2798073706
	6.0780658615 | 6.7150011300 | 0.4056865363
	7.0879116947 | 9.6200907960 | 6.4119310007
