Graph reconstruction via  vertex betweenness centrality
	Original graph description file-> ../example_graphs/sfba-inipy.txt		Ordre-> 40
	Pseudorandom generator seeds-> 429,429,429
THRESHOLD ACCEPTANCE :
	Initial Temperature-> 0.900000
	Tk final-> 0.000100
	Minimum Temperature-> 0.000100
	Geometric cooling rate: T[k]=0.980000 * T[k-1]
	Number Maxim of Combinations-> 2000
RESULTS:
	Best cost -> 25.20516654248725885168
	Betweenness centrality
	 Desired BC  |  Closest BC  | Difference^2
	45.6522324293 | 44.7638254907 | 0.7892668886
	3.6193580194 | 7.2070887840 | 12.8718120396
	14.8101968258 | 18.0496433841 | 10.4940140037
	95.6802585245 | 92.3591056978 | 11.0300560979
	80.7599408181 | 79.8599532697 | 0.8099775873
	151.9124776000 | 146.8525019188 | 25.6033538942
	38.1071303166 | 36.3360609460 | 3.1366867154
	60.5283449415 | 56.5291107056 | 15.9938744742
	15.7713610460 | 16.3327380312 | 0.3151441195
	26.9295441315 | 34.6362628678 | 59.3935136815
	45.3353975536 | 45.5673938208 | 0.0538222680
	26.9394855072 | 26.6611581424 | 0.0774661220
	18.7386443260 | 17.8446996737 | 0.7991370413
	12.9336643570 | 13.4286901104 | 0.2450504965
	14.2649027747 | 18.0589431506 | 14.3947423738
	41.8627761972 | 38.3594012904 | 12.2736357382
	23.8797765501 | 22.9062605570 | 0.9477333888
	13.8573527199 | 16.1552811500 | 5.2804750699
	14.6417113659 | 22.1626669865 | 56.5647734471
	7.6741391471 | 12.1356491544 | 19.9050715457
	21.0954875292 | 22.2274992733 | 1.2814505886
	7.3071484354 | 8.7854232589 | 2.1852964539
	8.1531554515 | 8.4969734409 | 0.1182108099
	17.5377826988 | 15.9278925463 | 2.5917463031
	16.0668745556 | 14.4176961317 | 2.7197894738
	12.1911370473 | 18.3420541856 | 37.8337816425
	8.8726714451 | 6.8175254307 | 4.2236251405
	11.2864427278 | 11.1597228808 | 0.0160579196
	10.1091975389 | 12.1356491544 | 4.1065061502
	8.0182772777 | 12.7517666165 | 22.4059213204
	14.6978954500 | 13.9034950321 | 0.6310720239
	6.2137733467 | 11.0964122866 | 23.8401630174
	18.2282702253 | 18.5296677963 | 0.0908404958
	10.7750992010 | 12.9264622484 | 4.6283629616
	10.2547250236 | 11.8222625338 | 2.4571738458
	5.8496227769 | 14.0702905794 | 67.5793791197
	7.5810516990 | 5.8333526442 | 3.0544519859
	8.4908655969 | 13.7317014056 | 27.4663599744
	6.0780658615 | 19.1530215583 | 170.9544664745
	7.0879116947 | 9.5650386070 | 6.1361577397
