Graph reconstruction via  vertex betweenness centrality
	Original graph description file-> ../example_graphs/circ-inipy.txt		Ordre-> 40
	Pseudorandom generator seeds-> 495,495,495
THRESHOLD ACCEPTANCE :
	Initial Temperature-> 0.900000
	Tk final-> 0.000100
	Minimum Temperature-> 0.000100
	Geometric cooling rate: T[k]=0.980000 * T[k-1]
	Number Maxim of Combinations-> 2000
RESULTS:
	Best cost -> 4.21572234571036918993
	Betweenness centrality
	 Desired BC  |  Closest BC  | Difference^2
	7.4588251313 | 7.2624899793 | 0.0385474919
	7.4588251313 | 7.7668656555 | 0.0948889646
	7.4588251313 | 8.2381426915 | 0.6073358597
	7.4588251313 | 7.5525154109 | 0.0087778685
	7.4588251313 | 7.7047179046 | 0.0604632560
	7.4588251313 | 5.6716373712 | 3.1940400897
	7.4588251313 | 8.0188089447 | 0.3135818713
	7.4588251313 | 8.0781649574 | 0.3835818202
	7.4588251313 | 7.4965343334 | 0.0014219839
	7.4588251313 | 7.7243398513 | 0.0704980666
	7.4588251313 | 7.5247956750 | 0.0043521126
	7.4588251313 | 5.7771095497 | 2.8281672973
	7.4588251313 | 7.4896409298 | 0.0009496134
	7.4588251313 | 7.9726748062 | 0.2640414884
	7.4588251313 | 7.9127415491 | 0.2060401143
	7.4588251313 | 8.2383951171 | 0.6077293628
	7.4588251313 | 7.6685387920 | 0.0439798195
	7.4588251313 | 8.4595987639 | 1.0015478638
	7.4588251313 | 6.4660408902 | 0.9856205494
	7.4588251313 | 7.9710032060 | 0.2623263802
	7.4588251313 | 7.6503692410 | 0.0366891460
	7.4588251313 | 7.8812831873 | 0.1784708091
	7.4588251313 | 8.0179167366 | 0.3125834231
	7.4588251313 | 7.1683608336 | 0.0843695083
	7.4588251313 | 7.6267654336 | 0.0282039451
	7.4588251313 | 7.3114728859 | 0.0217126842
	7.4588251313 | 7.5490676884 | 0.0081437191
	7.4588251313 | 7.9240384986 | 0.2164234771
	7.4588251313 | 7.3670054199 | 0.0084308594
	7.4588251313 | 7.3658822200 | 0.0086383848
	7.4588251313 | 6.1097089862 | 1.8201143730
	7.4588251313 | 7.9275526292 | 0.2197054673
	7.4588251313 | 5.7570609224 | 2.8960014227
	7.4588251313 | 7.9406564441 | 0.2321614140
	7.4588251313 | 7.5583855199 | 0.0099122710
	7.4588251313 | 7.7643584963 | 0.0933506371
	7.4588251313 | 7.6621871090 | 0.0413560940
	7.4588251313 | 7.3291702741 | 0.0168103820
	7.4588251313 | 7.5940540816 | 0.0182868690
	7.4588251313 | 6.7219003483 | 0.5430581358
