Graph reconstruction via  vertex betweenness centrality
	Original graph description file-> ../example_graphs/circ-inipy.txt		Ordre-> 40
	Pseudorandom generator seeds-> 416,416,416
THRESHOLD ACCEPTANCE :
	Initial Temperature-> 0.900000
	Tk final-> 0.000100
	Minimum Temperature-> 0.000100
	Geometric cooling rate: T[k]=0.980000 * T[k-1]
	Number Maxim of Combinations-> 2000
RESULTS:
	Best cost -> 4.63995224903855696397
	Betweenness centrality
	 Desired BC  |  Closest BC  | Difference^2
	7.4588251313 | 7.6385050392 | 0.0322848693
	7.4588251313 | 8.5856432173 | 1.2697189991
	7.4588251313 | 7.5227351958 | 0.0040844963
	7.4588251313 | 7.9847256466 | 0.2765713520
	7.4588251313 | 7.4592277780 | 0.0000001621
	7.4588251313 | 7.4778879998 | 0.0003633930
	7.4588251313 | 6.1888971880 | 1.6127169811
	7.4588251313 | 6.9824539840 | 0.2269294699
	7.4588251313 | 8.2367492767 | 0.6051659760
	7.4588251313 | 8.8157829300 | 1.8413344674
	7.4588251313 | 8.0705194379 | 0.3741699248
	7.4588251313 | 6.0821532381 | 1.8952255015
	7.4588251313 | 7.6427473351 | 0.0338273770
	7.4588251313 | 7.7541028943 | 0.0871889573
	7.4588251313 | 8.3398761247 | 0.7762508530
	7.4588251313 | 7.5165462079 | 0.0033317227
	7.4588251313 | 8.0290025186 | 0.3251022531
	7.4588251313 | 7.8635007801 | 0.1637623808
	7.4588251313 | 7.5139722301 | 0.0030412025
	7.4588251313 | 6.2758503628 | 1.3994293030
	7.4588251313 | 8.7411292966 | 1.6443039724
	7.4588251313 | 7.6966046707 | 0.0565391094
	7.4588251313 | 7.6750842278 | 0.0467679968
	7.4588251313 | 7.5779950389 | 0.0142014669
	7.4588251313 | 6.3817882835 | 1.1600083715
	7.4588251313 | 6.3369738255 | 1.2585503523
	7.4588251313 | 8.2670562894 | 0.6532376050
	7.4588251313 | 7.7675378364 | 0.0953035343
	7.4588251313 | 7.8015408281 | 0.1174540488
	7.4588251313 | 7.6627676118 | 0.0415925354
	7.4588251313 | 8.1013425449 | 0.4128286267
	7.4588251313 | 7.9558811561 | 0.2470646918
	7.4588251313 | 8.1922287640 | 0.5378808885
	7.4588251313 | 5.8875144571 | 2.4690172349
	7.4588251313 | 8.0958106878 | 0.4057505992
	7.4588251313 | 7.6380574005 | 0.0321242063
	7.4588251313 | 7.9302434007 | 0.2222351848
	7.4588251313 | 7.7548342484 | 0.0876213974
	7.4588251313 | 7.6084586734 | 0.0223901969
	7.4588251313 | 6.4225890519 | 1.0737852123
