Graph reconstruction via  vertex betweenness centrality
	Original graph description file-> ../example_graphs/sfba-inipy.txt		Ordre-> 40
	Pseudorandom generator seeds-> 208,208,208
THRESHOLD ACCEPTANCE :
	Initial Temperature-> 0.900000
	Tk final-> 0.000100
	Minimum Temperature-> 0.000100
	Geometric cooling rate: T[k]=0.980000 * T[k-1]
	Number Maxim of Combinations-> 2000
RESULTS:
	Best cost -> 20.79631181741946832631
	Betweenness centrality
	 Desired BC  |  Closest BC  | Difference^2
	45.6522324293 | 44.3188197497 | 1.7779893741
	3.6193580194 | 9.6799142933 | 36.7303423487
	14.8101968258 | 13.9529377828 | 0.7348930668
	95.6802585245 | 94.0810569071 | 2.5574458129
	80.7599408181 | 80.4595186408 | 0.0902534846
	151.9124776000 | 148.9812551324 | 8.5920651545
	38.1071303166 | 35.2152101315 | 8.3632023569
	60.5283449415 | 61.7327784883 | 1.4506601686
	15.7713610460 | 19.9995950379 | 17.8779626899
	26.9295441315 | 24.8744221265 | 4.2235264553
	45.3353975536 | 45.3868325146 | 0.0026455552
	26.9394855072 | 25.4466381139 | 2.2285933397
	18.7386443260 | 19.4557876670 | 0.5142945716
	12.9336643570 | 15.0010730939 | 4.2741788855
	14.2649027747 | 15.8284508411 | 2.4446825559
	41.8627761972 | 39.9676671691 | 3.5914382284
	23.8797765501 | 26.5512839386 | 7.1369517269
	13.8573527199 | 16.5701051851 | 7.3590259373
	14.6417113659 | 15.1406324275 | 0.2489222258
	7.6741391471 | 11.9821456648 | 18.5589201566
	21.0954875292 | 27.0558817672 | 35.5262994715
	7.3071484354 | 8.7478757862 | 2.0756952993
	8.1531554515 | 7.6429202986 | 0.2603399112
	17.5377826988 | 17.8208993014 | 0.0801550107
	16.0668745556 | 17.2034061265 | 1.2917040116
	12.1911370473 | 12.0309606084 | 0.0256564916
	8.8726714451 | 12.1005356587 | 10.4191073816
	11.2864427278 | 14.4871134735 | 10.2442932222
	10.1091975389 | 14.6664932919 | 20.7689445805
	8.0182772777 | 7.6955490141 | 0.1041535321
	14.6978954500 | 14.9287769537 | 0.0533062687
	6.2137733467 | 8.5808778912 | 5.6031839246
	18.2282702253 | 16.9580211040 | 1.6135328303
	10.7750992010 | 13.1092388069 | 5.4482076998
	10.2547250236 | 12.2564110522 | 4.0067469571
	5.8496227769 | 6.5954317376 | 0.5562310059
	7.5810516990 | 21.4632996138 | 192.7168071692
	8.4908655969 | 9.6676825031 | 1.3848980307
	6.0780658615 | 4.7092393607 | 1.8736859891
	7.0879116947 | 10.1984811481 | 9.6756423243
