Graph reconstruction via  vertex betweenness centrality
	Original graph description file-> ../example_graphs/sfba-inipy.txt		Ordre-> 40
	Pseudorandom generator seeds-> 218,218,218
THRESHOLD ACCEPTANCE :
	Initial Temperature-> 0.900000
	Tk final-> 0.000100
	Minimum Temperature-> 0.000100
	Geometric cooling rate: T[k]=0.980000 * T[k-1]
	Number Maxim of Combinations-> 2000
RESULTS:
	Best cost -> 25.89886083696767116180
	Betweenness centrality
	 Desired BC  |  Closest BC  | Difference^2
	45.6522324293 | 47.4800089871 | 3.3407671456
	3.6193580194 | 10.5626626620 | 48.2094793605
	14.8101968258 | 16.8952984007 | 4.3476485774
	95.6802585245 | 89.6941554312 | 35.8334302433
	80.7599408181 | 80.8497770727 | 0.0080705526
	151.9124776000 | 152.8831008442 | 0.9421094822
	38.1071303166 | 30.7091123672 | 54.7306695798
	60.5283449415 | 57.0474623277 | 12.1165437716
	15.7713610460 | 15.4437798823 | 0.1073094188
	26.9295441315 | 22.2045544110 | 22.3255278588
	45.3353975536 | 41.8568657423 | 12.1001835628
	26.9394855072 | 27.3367990877 | 0.1578580812
	18.7386443260 | 18.3631777933 | 0.1409751172
	12.9336643570 | 12.8058253065 | 0.0163428228
	14.2649027747 | 16.9624581532 | 7.2768050201
	41.8627761972 | 40.8232906681 | 1.0805301652
	23.8797765501 | 19.9426280630 | 15.5011382095
	13.8573527199 | 15.9101017831 | 4.2137787164
	14.6417113659 | 12.3325982482 | 5.3320033903
	7.6741391471 | 13.3723354559 | 32.4694411739
	21.0954875292 | 33.1570927553 | 145.4823206281
	7.3071484354 | 9.1406310095 | 3.3616583497
	8.1531554515 | 12.1756308780 | 16.1803085571
	17.5377826988 | 19.7196074646 | 4.7603593087
	16.0668745556 | 12.3104190559 | 14.1109579213
	12.1911370473 | 17.3226199247 | 26.3321165215
	8.8726714451 | 8.9393065530 | 0.0044402376
	11.2864427278 | 12.5153313722 | 1.5101673002
	10.1091975389 | 19.1466464428 | 81.6754826907
	8.0182772777 | 7.3294703094 | 0.4744550396
	14.6978954500 | 15.1522383336 | 0.2064274559
	6.2137733467 | 7.4612989325 | 1.5563200871
	18.2282702253 | 16.7989501521 | 2.0429558717
	10.7750992010 | 10.6452671169 | 0.0168563701
	10.2547250236 | 8.3867125879 | 3.4894704601
	5.8496227769 | 11.4144859763 | 30.9677024280
	7.5810516990 | 10.5626626620 | 8.8900039352
	8.4908655969 | 16.5986093072 | 65.7355080725
	6.0780658615 | 6.0104305246 | 0.0045745388
	7.0879116947 | 9.0110067597 | 3.6982946288
