Graph reconstruction via  vertex betweenness centrality
	Original graph description file-> ../example_graphs/sfba-inipy.txt		Ordre-> 40
	Pseudorandom generator seeds-> 53,53,53
THRESHOLD ACCEPTANCE :
	Initial Temperature-> 0.900000
	Tk final-> 0.000100
	Minimum Temperature-> 0.000100
	Geometric cooling rate: T[k]=0.980000 * T[k-1]
	Number Maxim of Combinations-> 2000
RESULTS:
	Best cost -> 17.37252649145201388592
	Betweenness centrality
	 Desired BC  |  Closest BC  | Difference^2
	45.6522324293 | 44.5755355664 | 1.1592761345
	3.6193580194 | 3.6439739517 | 0.0006059441
	14.8101968258 | 13.6183607554 | 1.4204732189
	95.6802585245 | 93.4680465542 | 4.8938818015
	80.7599408181 | 79.1067773345 | 2.7329495033
	151.9124776000 | 150.0241838516 | 3.5656532801
	38.1071303166 | 38.7225496524 | 0.3787409589
	60.5283449415 | 57.6240072638 | 8.4351773464
	15.7713610460 | 14.1894594597 | 2.5024126288
	26.9295441315 | 24.2399020315 | 7.2341746259
	45.3353975536 | 45.9837301958 | 0.4203352149
	26.9394855072 | 28.3169979647 | 1.8975405705
	18.7386443260 | 21.4460165381 | 7.3298642951
	12.9336643570 | 17.1351705352 | 17.6526541651
	14.2649027747 | 12.5196204138 | 3.0460105194
	41.8627761972 | 41.7025152601 | 0.0256835680
	23.8797765501 | 26.6435719462 | 7.6385649912
	13.8573527199 | 17.2626090051 | 11.5957703681
	14.6417113659 | 23.6853680285 | 81.7877258319
	7.6741391471 | 10.9065627120 | 10.4485621029
	21.0954875292 | 19.9183468898 | 1.3856600851
	7.3071484354 | 12.1949613455 | 23.8907150441
	8.1531554515 | 10.6550288613 | 6.2593705589
	17.5377826988 | 17.0711593422 | 0.2177373569
	16.0668745556 | 15.4502669391 | 0.3802049527
	12.1911370473 | 16.7125432355 | 20.4431139186
	8.8726714451 | 9.4890431816 | 0.3799141175
	11.2864427278 | 13.1464356373 | 3.4595736231
	10.1091975389 | 10.0885713955 | 0.0004254378
	8.0182772777 | 9.8521868261 | 3.3632242317
	14.6978954500 | 16.3006153363 | 2.5687110341
	6.2137733467 | 10.7680035337 | 20.7410125960
	18.2282702253 | 17.3458652170 | 0.7786385987
	10.7750992010 | 11.2562577570 | 0.2315135560
	10.2547250236 | 13.2667777503 | 9.0724616282
	5.8496227769 | 8.3388126423 | 6.1960661860
	7.5810516990 | 9.6009229807 | 4.0798799948
	8.4908655969 | 5.0317577906 | 11.9654268157
	6.0780658615 | 9.5593433890 | 12.1192932238
	7.0879116947 | 7.4129911726 | 0.1056766669
