Graph reconstruction via  vertex betweenness centrality
	Original graph description file-> ../example_graphs/circ-inipy.txt		Ordre-> 40
	Pseudorandom generator seeds-> 409,409,409
THRESHOLD ACCEPTANCE :
	Initial Temperature-> 0.900000
	Tk final-> 0.000100
	Minimum Temperature-> 0.000100
	Geometric cooling rate: T[k]=0.980000 * T[k-1]
	Number Maxim of Combinations-> 2000
RESULTS:
	Best cost -> 4.28422516917391416058
	Betweenness centrality
	 Desired BC  |  Closest BC  | Difference^2
	7.4588251313 | 6.3849746692 | 1.1531548149
	7.4588251313 | 5.8807861389 | 2.4902070615
	7.4588251313 | 7.3643876006 | 0.0089184472
	7.4588251313 | 8.5272262185 | 1.1414808831
	7.4588251313 | 7.1768126924 | 0.0795310157
	7.4588251313 | 7.7278233978 | 0.0723600674
	7.4588251313 | 7.7634739734 | 0.0928109170
	7.4588251313 | 8.0215036855 | 0.3166071554
	7.4588251313 | 7.7054218055 | 0.0608099197
	7.4588251313 | 7.8789699196 | 0.1765216432
	7.4588251313 | 7.5223267192 | 0.0040324517
	7.4588251313 | 7.8506786062 | 0.1535491458
	7.4588251313 | 6.0005615135 | 2.1265327790
	7.4588251313 | 5.9390659133 | 2.3096680808
	7.4588251313 | 7.3279361230 | 0.0171319325
	7.4588251313 | 7.6773524530 | 0.0477541904
	7.4588251313 | 7.8115618119 | 0.1244231659
	7.4588251313 | 7.8751985048 | 0.1733667861
	7.4588251313 | 8.2364193889 | 0.6046528295
	7.4588251313 | 7.4580506337 | 0.0000005998
	7.4588251313 | 7.6406581493 | 0.0330632464
	7.4588251313 | 7.1713421698 | 0.0826464532
	7.4588251313 | 6.4590738640 | 0.9995025965
	7.4588251313 | 8.1886220981 | 0.5326036127
	7.4588251313 | 8.0701239912 | 0.3736862961
	7.4588251313 | 8.0625977873 | 0.3645414202
	7.4588251313 | 7.8795207142 | 0.1769847735
	7.4588251313 | 8.1662942456 | 0.5005125477
	7.4588251313 | 7.2493468783 | 0.0438811385
	7.4588251313 | 7.4817804284 | 0.0005269457
	7.4588251313 | 6.3393542840 | 1.2532149780
	7.4588251313 | 8.0527714969 | 0.3527722852
	7.4588251313 | 7.6953171799 | 0.0559284891
	7.4588251313 | 6.4156736054 | 1.0881651059
	7.4588251313 | 7.8601824563 | 0.1610877023
	7.4588251313 | 7.1954719448 | 0.0693549009
	7.4588251313 | 7.6595883015 | 0.0403058505
	7.4588251313 | 8.1679400318 | 0.5028439421
	7.4588251313 | 8.2126733654 | 0.5682871600
	7.4588251313 | 7.4929127983 | 0.0011619690
